EmployeeKey,EmployeeCode,FirstName,LastName,BirthDate,Gender,DepartmentKey,RoleKey,LocationKey,EmploymentTypeKey,ManagerKey,HireDate,TerminationDate,TerminationReason
53,EMP000053,First_000053,Last_000053,27/12/2003,F,10,11,8,2,NULL,17/10/2020,NULL,NULL
54,EMP000054,First_000054,Last_000054,20/12/2003,M,3,40,3,3,NULL,18/09/2020,NULL,NULL
55,EMP000055,First_000055,Last_000055,13/12/2003,F,6,8,6,1,NULL,20/08/2020,NULL,NULL
56,EMP000056,First_000056,Last_000056,6/12/2003,M,9,37,1,2,NULL,22/07/2020,NULL,NULL
57,EMP000057,First_000057,Last_000057,29/11/2003,F,2,5,4,3,NULL,23/06/2020,NULL,NULL
58,EMP000058,First_000058,Last_000058,22/11/2003,M,5,34,7,1,NULL,25/05/2020,NULL,NULL
59,EMP000059,First_000059,Last_000059,15/11/2003,F,8,2,2,2,NULL,26/04/2020,NULL,NULL
60,EMP000060,First_000060,Last_000060,8/11/2003,M,1,31,5,3,NULL,28/03/2020,27/11/2024,Resignation
61,EMP000061,First_000061,Last_000061,1/11/2003,F,4,19,8,1,NULL,28/02/2020,NULL,NULL
62,EMP000062,First_000062,Last_000062,25/10/2003,M,7,28,3,2,NULL,30/01/2020,NULL,NULL
63,EMP000063,First_000063,Last_000063,18/10/2003,F,10,16,6,3,NULL,1/01/2020,NULL,NULL
64,EMP000064,First_000064,Last_000064,11/10/2003,M,3,25,1,1,NULL,3/12/2019,NULL,NULL
65,EMP000065,First_000065,Last_000065,4/10/2003,F,6,13,4,2,NULL,4/11/2019,NULL,NULL
66,EMP000066,First_000066,Last_000066,27/09/2003,M,9,22,7,3,NULL,6/10/2019,NULL,NULL
67,EMP000067,First_000067,Last_000067,20/09/2003,F,2,10,2,1,NULL,7/09/2019,NULL,NULL
68,EMP000068,First_000068,Last_000068,13/09/2003,M,5,39,5,2,NULL,9/08/2019,NULL,NULL
69,EMP000069,First_000069,Last_000069,6/09/2003,F,8,7,8,3,NULL,11/07/2019,NULL,NULL
70,EMP000070,First_000070,Last_000070,30/08/2003,M,1,36,3,1,NULL,12/06/2019,22/01/2024,Retirement
71,EMP000071,First_000071,Last_000071,23/08/2003,F,4,4,6,2,NULL,14/05/2019,NULL,NULL
72,EMP000072,First_000072,Last_000072,16/08/2003,M,7,33,1,3,NULL,15/04/2019,NULL,NULL
73,EMP000073,First_000073,Last_000073,9/08/2003,F,10,1,4,1,NULL,17/03/2019,NULL,NULL
74,EMP000074,First_000074,Last_000074,2/08/2003,M,3,30,7,2,NULL,16/02/2019,NULL,NULL
75,EMP000075,First_000075,Last_000075,26/07/2003,F,6,18,2,3,NULL,18/01/2019,NULL,NULL
76,EMP000076,First_000076,Last_000076,19/07/2003,M,9,27,5,1,NULL,20/12/2018,NULL,NULL
77,EMP000077,First_000077,Last_000077,12/07/2003,F,2,15,8,2,NULL,21/11/2018,NULL,NULL
78,EMP000078,First_000078,Last_000078,5/07/2003,M,5,24,3,3,NULL,23/10/2018,NULL,NULL
79,EMP000079,First_000079,Last_000079,28/06/2003,F,8,12,6,1,NULL,24/09/2018,NULL,NULL
80,EMP000080,First_000080,Last_000080,21/06/2003,M,1,21,1,2,NULL,26/08/2018,17/03/2024,Termination
81,EMP000081,First_000081,Last_000081,14/06/2003,F,4,9,4,3,NULL,28/07/2018,NULL,NULL
82,EMP000082,First_000082,Last_000082,7/06/2003,M,7,38,7,1,NULL,29/06/2018,NULL,NULL
83,EMP000083,First_000083,Last_000083,31/05/2003,F,10,6,2,2,NULL,31/05/2018,NULL,NULL
84,EMP000084,First_000084,Last_000084,24/05/2003,M,3,35,5,3,NULL,2/05/2018,NULL,NULL
85,EMP000085,First_000085,Last_000085,17/05/2003,F,6,3,8,1,NULL,3/04/2018,NULL,NULL
86,EMP000086,First_000086,Last_000086,10/05/2003,M,9,32,3,2,NULL,5/03/2018,NULL,NULL
87,EMP000087,First_000087,Last_000087,3/05/2003,F,2,20,6,3,NULL,4/02/2018,NULL,NULL
88,EMP000088,First_000088,Last_000088,26/04/2003,M,5,29,1,1,NULL,6/01/2018,NULL,NULL
89,EMP000089,First_000089,Last_000089,19/04/2003,F,8,17,4,2,NULL,8/12/2017,NULL,NULL
90,EMP000090,First_000090,Last_000090,12/04/2003,M,1,26,7,3,NULL,9/11/2017,11/05/2024,Resignation
91,EMP000091,First_000091,Last_000091,5/04/2003,F,4,14,2,1,NULL,11/10/2017,NULL,NULL
92,EMP000092,First_000092,Last_000092,29/03/2003,M,7,23,5,2,NULL,12/09/2017,NULL,NULL
93,EMP000093,First_000093,Last_000093,22/03/2003,F,10,11,8,3,NULL,14/08/2017,NULL,NULL
94,EMP000094,First_000094,Last_000094,15/03/2003,M,3,40,3,1,NULL,16/07/2017,NULL,NULL
95,EMP000095,First_000095,Last_000095,8/03/2003,F,6,8,6,2,NULL,17/06/2017,NULL,NULL
96,EMP000096,First_000096,Last_000096,1/03/2003,M,9,37,1,3,NULL,19/05/2017,NULL,NULL
97,EMP000097,First_000097,Last_000097,22/02/2003,F,2,5,4,1,NULL,20/04/2017,NULL,NULL
98,EMP000098,First_000098,Last_000098,15/02/2003,M,5,34,7,2,NULL,22/03/2017,NULL,NULL
99,EMP000099,First_000099,Last_000099,8/02/2003,F,8,2,2,3,NULL,21/02/2017,NULL,NULL
100,EMP000100,First_000101,Last_000101,25/01/2003,F,4,19,8,2,NULL,25/12/2016,NULL,NULL
101,EMP000102,First_000102,Last_000102,18/01/2003,M,7,28,3,3,NULL,26/11/2016,NULL,NULL
102,EMP000103,First_000103,Last_000103,11/01/2003,F,10,16,6,1,NULL,28/10/2016,NULL,NULL
103,EMP000104,First_000104,Last_000104,4/01/2003,M,3,25,1,2,NULL,29/09/2016,NULL,NULL
104,EMP000105,First_000105,Last_000105,28/12/2002,F,6,13,4,3,NULL,31/08/2016,NULL,NULL
105,EMP000106,First_000106,Last_000106,21/12/2002,M,9,22,7,1,NULL,2/08/2016,NULL,NULL
106,EMP000107,First_000107,Last_000107,14/12/2002,F,2,10,2,2,NULL,4/07/2016,NULL,NULL
107,EMP000108,First_000108,Last_000108,7/12/2002,M,5,39,5,3,NULL,5/06/2016,NULL,NULL
108,EMP000109,First_000109,Last_000109,30/11/2002,F,8,7,8,1,NULL,7/05/2016,NULL,NULL
109,EMP000110,First_000110,Last_000110,23/11/2002,M,1,36,3,2,NULL,8/04/2016,29/08/2024,Termination
110,EMP000111,First_000111,Last_000111,16/11/2002,F,4,4,6,3,NULL,10/03/2016,NULL,NULL
111,EMP000112,First_000112,Last_000112,9/11/2002,M,7,33,1,1,NULL,10/02/2016,NULL,NULL
112,EMP000113,First_000113,Last_000113,2/11/2002,F,10,1,4,2,NULL,12/01/2016,NULL,NULL
113,EMP000114,First_000114,Last_000114,26/10/2002,M,3,30,7,3,NULL,14/12/2015,NULL,NULL
114,EMP000115,First_000115,Last_000115,19/10/2002,F,6,18,2,1,NULL,15/11/2015,NULL,NULL
115,EMP000116,First_000116,Last_000116,12/10/2002,M,9,27,5,2,NULL,17/10/2015,NULL,NULL
116,EMP000117,First_000117,Last_000117,5/10/2002,F,2,15,8,3,NULL,18/09/2015,NULL,NULL
117,EMP000118,First_000118,Last_000118,28/09/2002,M,5,24,3,1,NULL,20/08/2015,NULL,NULL
118,EMP000119,First_000119,Last_000119,21/09/2002,F,8,12,6,2,NULL,22/07/2015,NULL,NULL
119,EMP000120,First_000120,Last_000120,14/09/2002,M,1,21,1,3,NULL,23/06/2015,23/10/2024,Resignation
120,EMP000121,First_000121,Last_000121,7/09/2002,F,4,9,4,1,NULL,25/05/2015,NULL,NULL
121,EMP000122,First_000122,Last_000122,31/08/2002,M,7,38,7,2,NULL,26/04/2015,NULL,NULL
122,EMP000123,First_000123,Last_000123,24/08/2002,F,10,6,2,3,NULL,28/03/2015,NULL,NULL
123,EMP000124,First_000124,Last_000124,17/08/2002,M,3,35,5,1,NULL,27/02/2015,NULL,NULL
124,EMP000125,First_000125,Last_000125,10/08/2002,F,6,3,8,2,NULL,29/01/2015,NULL,NULL
125,EMP000126,First_000126,Last_000126,3/08/2002,M,9,32,3,3,NULL,28/12/2024,NULL,NULL
126,EMP000127,First_000127,Last_000127,27/07/2002,F,2,20,6,1,NULL,29/11/2024,NULL,NULL
127,EMP000128,First_000128,Last_000128,20/07/2002,M,5,29,1,2,NULL,31/10/2024,NULL,NULL
128,EMP000129,First_000129,Last_000129,13/07/2002,F,8,17,4,3,NULL,2/10/2024,NULL,NULL
129,EMP000130,First_000130,Last_000130,6/07/2002,M,1,26,7,1,NULL,3/09/2024,17/12/2024,Retirement
130,EMP000131,First_000131,Last_000131,29/06/2002,F,4,14,2,2,NULL,5/08/2024,NULL,NULL
131,EMP000132,First_000132,Last_000132,22/06/2002,M,7,23,5,3,NULL,7/07/2024,NULL,NULL
132,EMP000133,First_000133,Last_000133,15/06/2002,F,10,11,8,1,NULL,8/06/2024,NULL,NULL
133,EMP000134,First_000134,Last_000134,8/06/2002,M,3,40,3,2,NULL,10/05/2024,NULL,NULL
134,EMP000135,First_000135,Last_000135,1/06/2002,F,6,8,6,3,NULL,11/04/2024,NULL,NULL
135,EMP000136,First_000136,Last_000136,25/05/2002,M,9,37,1,1,NULL,13/03/2024,NULL,NULL
136,EMP000137,First_000137,Last_000137,18/05/2002,F,2,5,4,2,NULL,13/02/2024,NULL,NULL
137,EMP000138,First_000138,Last_000138,11/05/2002,M,5,34,7,3,NULL,15/01/2024,NULL,NULL
138,EMP000139,First_000139,Last_000139,4/05/2002,F,8,2,2,1,NULL,17/12/2023,NULL,NULL
139,EMP000140,First_000140,Last_000140,27/04/2002,M,1,31,5,2,NULL,18/11/2023,11/02/2024,Termination
140,EMP000141,First_000141,Last_000141,20/04/2002,F,4,19,8,3,NULL,20/10/2023,NULL,NULL
141,EMP000142,First_000142,Last_000142,13/04/2002,M,7,28,3,1,NULL,21/09/2023,NULL,NULL
142,EMP000143,First_000143,Last_000143,6/04/2002,F,10,16,6,2,NULL,23/08/2023,NULL,NULL
143,EMP000144,First_000144,Last_000144,30/03/2002,M,3,25,1,3,NULL,25/07/2023,NULL,NULL
144,EMP000145,First_000145,Last_000145,23/03/2002,F,6,13,4,1,NULL,26/06/2023,NULL,NULL
145,EMP000146,First_000146,Last_000146,16/03/2002,M,9,22,7,2,NULL,28/05/2023,NULL,NULL
146,EMP000147,First_000147,Last_000147,9/03/2002,F,2,10,2,3,NULL,29/04/2023,NULL,NULL
147,EMP000148,First_000148,Last_000148,2/03/2002,M,5,39,5,1,NULL,31/03/2023,NULL,NULL
148,EMP000149,First_000149,Last_000149,23/02/2002,F,8,7,8,2,NULL,2/03/2023,NULL,NULL
149,EMP000150,First_000150,Last_000150,16/02/2002,M,1,36,3,3,NULL,1/02/2023,6/04/2024,Resignation
150,EMP000151,First_000151,Last_000151,9/02/2002,F,4,4,6,1,NULL,3/01/2023,NULL,NULL
151,EMP000152,First_000152,Last_000152,2/02/2002,M,7,33,1,2,NULL,5/12/2022,NULL,NULL
152,EMP000153,First_000153,Last_000153,26/01/2002,F,10,1,4,3,NULL,6/11/2022,NULL,NULL
153,EMP000154,First_000154,Last_000154,19/01/2002,M,3,30,7,1,NULL,8/10/2022,NULL,NULL
154,EMP000155,First_000155,Last_000155,12/01/2002,F,6,18,2,2,NULL,9/09/2022,NULL,NULL
155,EMP000156,First_000156,Last_000156,5/01/2002,M,9,27,5,3,NULL,11/08/2022,NULL,NULL
156,EMP000157,First_000157,Last_000157,29/12/2001,F,2,15,8,1,NULL,13/07/2022,NULL,NULL
157,EMP000158,First_000158,Last_000158,22/12/2001,M,5,24,3,2,NULL,14/06/2022,NULL,NULL
158,EMP000159,First_000159,Last_000159,15/12/2001,F,8,12,6,3,NULL,16/05/2022,NULL,NULL
159,EMP000160,First_000160,Last_000160,8/12/2001,M,1,21,1,1,NULL,17/04/2022,31/05/2024,Retirement
160,EMP000161,First_000161,Last_000161,1/12/2001,F,4,9,4,2,NULL,19/03/2022,NULL,NULL
161,EMP000162,First_000162,Last_000162,24/11/2001,M,7,38,7,3,NULL,18/02/2022,NULL,NULL
162,EMP000163,First_000163,Last_000163,17/11/2001,F,10,6,2,1,NULL,20/01/2022,NULL,NULL
163,EMP000164,First_000164,Last_000164,10/11/2001,M,3,35,5,2,NULL,22/12/2021,NULL,NULL
164,EMP000165,First_000165,Last_000165,3/11/2001,F,6,3,8,3,NULL,23/11/2021,NULL,NULL
165,EMP000166,First_000166,Last_000166,27/10/2001,M,9,32,3,1,NULL,25/10/2021,NULL,NULL
166,EMP000167,First_000167,Last_000167,20/10/2001,F,2,20,6,2,NULL,26/09/2021,NULL,NULL
167,EMP000168,First_000168,Last_000168,13/10/2001,M,5,29,1,3,NULL,28/08/2021,NULL,NULL
168,EMP000169,First_000169,Last_000169,6/10/2001,F,8,17,4,1,NULL,30/07/2021,NULL,NULL
169,EMP000170,First_000170,Last_000170,29/09/2001,M,1,26,7,2,NULL,1/07/2021,25/07/2024,Termination
170,EMP000171,First_000171,Last_000171,22/09/2001,F,4,14,2,3,NULL,2/06/2021,NULL,NULL
171,EMP000172,First_000172,Last_000172,15/09/2001,M,7,23,5,1,NULL,4/05/2021,NULL,NULL
172,EMP000173,First_000173,Last_000173,8/09/2001,F,10,11,8,2,NULL,5/04/2021,NULL,NULL
173,EMP000174,First_000174,Last_000174,1/09/2001,M,3,40,3,3,NULL,7/03/2021,NULL,NULL
174,EMP000175,First_000175,Last_000175,25/08/2001,F,6,8,6,1,NULL,6/02/2021,NULL,NULL
175,EMP000176,First_000176,Last_000176,18/08/2001,M,9,37,1,2,NULL,8/01/2021,NULL,NULL
176,EMP000177,First_000177,Last_000177,11/08/2001,F,2,5,4,3,NULL,10/12/2020,NULL,NULL
177,EMP000178,First_000178,Last_000178,4/08/2001,M,5,34,7,1,NULL,11/11/2020,NULL,NULL
178,EMP000179,First_000179,Last_000179,28/07/2001,F,8,2,2,2,NULL,13/10/2020,NULL,NULL
179,EMP000180,First_000180,Last_000180,21/07/2001,M,1,31,5,3,NULL,14/09/2020,18/09/2024,Resignation
180,EMP000181,First_000181,Last_000181,14/07/2001,F,4,19,8,1,NULL,16/08/2020,NULL,NULL
181,EMP000182,First_000182,Last_000182,7/07/2001,M,7,28,3,2,NULL,18/07/2020,NULL,NULL
182,EMP000183,First_000183,Last_000183,30/06/2001,F,10,16,6,3,NULL,19/06/2020,NULL,NULL
183,EMP000184,First_000184,Last_000184,23/06/2001,M,3,25,1,1,NULL,21/05/2020,NULL,NULL
184,EMP000185,First_000185,Last_000185,16/06/2001,F,6,13,4,2,NULL,22/04/2020,NULL,NULL
185,EMP000186,First_000186,Last_000186,9/06/2001,M,9,22,7,3,NULL,24/03/2020,NULL,NULL
186,EMP000187,First_000187,Last_000187,2/06/2001,F,2,10,2,1,NULL,24/02/2020,NULL,NULL
187,EMP000188,First_000188,Last_000188,26/05/2001,M,5,39,5,2,NULL,26/01/2020,NULL,NULL
188,EMP000189,First_000189,Last_000189,19/05/2001,F,8,7,8,3,NULL,28/12/2019,NULL,NULL
189,EMP000190,First_000190,Last_000190,12/05/2001,M,1,36,3,1,NULL,29/11/2019,12/11/2024,Retirement
190,EMP000191,First_000191,Last_000191,5/05/2001,F,4,4,6,2,NULL,31/10/2019,NULL,NULL
191,EMP000192,First_000192,Last_000192,28/04/2001,M,7,33,1,3,NULL,2/10/2019,NULL,NULL
192,EMP000193,First_000193,Last_000193,21/04/2001,F,10,1,4,1,NULL,3/09/2019,NULL,NULL
193,EMP000194,First_000194,Last_000194,14/04/2001,M,3,30,7,2,NULL,5/08/2019,NULL,NULL
194,EMP000195,First_000195,Last_000195,7/04/2001,F,6,18,2,3,NULL,7/07/2019,NULL,NULL
195,EMP000196,First_000196,Last_000196,31/03/2001,M,9,27,5,1,NULL,8/06/2019,NULL,NULL
196,EMP000197,First_000197,Last_000197,24/03/2001,F,2,15,8,2,NULL,10/05/2019,NULL,NULL
197,EMP000198,First_000198,Last_000198,17/03/2001,M,5,24,3,3,NULL,11/04/2019,NULL,NULL
198,EMP000199,First_000199,Last_000199,10/03/2001,F,8,12,6,1,NULL,13/03/2019,NULL,NULL
199,EMP000200,First_000201,Last_000201,24/02/2001,F,4,9,4,3,NULL,14/01/2019,NULL,NULL
200,EMP000202,First_000202,Last_000202,17/02/2001,M,7,38,7,1,NULL,16/12/2018,NULL,NULL
201,EMP000203,First_000203,Last_000203,10/02/2001,F,10,6,2,2,NULL,17/11/2018,NULL,NULL
202,EMP000204,First_000204,Last_000204,3/02/2001,M,3,35,5,3,NULL,19/10/2018,NULL,NULL
203,EMP000205,First_000205,Last_000205,27/01/2001,F,6,3,8,1,NULL,20/09/2018,NULL,NULL
204,EMP000206,First_000206,Last_000206,20/01/2001,M,9,32,3,2,NULL,22/08/2018,NULL,NULL
205,EMP000207,First_000207,Last_000207,13/01/2001,F,2,20,6,3,NULL,24/07/2018,NULL,NULL
206,EMP000208,First_000208,Last_000208,6/01/2001,M,5,29,1,1,NULL,25/06/2018,NULL,NULL
207,EMP000209,First_000209,Last_000209,30/12/2000,F,8,17,4,2,NULL,27/05/2018,NULL,NULL
208,EMP000210,First_000210,Last_000210,23/12/2000,M,1,26,7,3,NULL,28/04/2018,2/03/2024,Resignation
209,EMP000211,First_000211,Last_000211,16/12/2000,F,4,14,2,1,NULL,30/03/2018,NULL,NULL
210,EMP000212,First_000212,Last_000212,9/12/2000,M,7,23,5,2,NULL,1/03/2018,NULL,NULL
211,EMP000213,First_000213,Last_000213,2/12/2000,F,10,11,8,3,NULL,31/01/2018,NULL,NULL
212,EMP000214,First_000214,Last_000214,25/11/2000,M,3,40,3,1,NULL,2/01/2018,NULL,NULL
213,EMP000215,First_000215,Last_000215,18/11/2000,F,6,8,6,2,NULL,4/12/2017,NULL,NULL
214,EMP000216,First_000216,Last_000216,11/11/2000,M,9,37,1,3,NULL,5/11/2017,NULL,NULL
215,EMP000217,First_000217,Last_000217,4/11/2000,F,2,5,4,1,NULL,7/10/2017,NULL,NULL
216,EMP000218,First_000218,Last_000218,28/10/2000,M,5,34,7,2,NULL,8/09/2017,NULL,NULL
217,EMP000219,First_000219,Last_000219,21/10/2000,F,8,2,2,3,NULL,10/08/2017,NULL,NULL
218,EMP000220,First_000220,Last_000220,14/10/2000,M,1,31,5,1,NULL,12/07/2017,26/04/2024,Retirement
219,EMP000221,First_000221,Last_000221,7/10/2000,F,4,19,8,2,NULL,13/06/2017,NULL,NULL
220,EMP000222,First_000222,Last_000222,30/09/2000,M,7,28,3,3,NULL,15/05/2017,NULL,NULL
221,EMP000223,First_000223,Last_000223,23/09/2000,F,10,16,6,1,NULL,16/04/2017,NULL,NULL
222,EMP000224,First_000224,Last_000224,16/09/2000,M,3,25,1,2,NULL,18/03/2017,NULL,NULL
223,EMP000225,First_000225,Last_000225,9/09/2000,F,6,13,4,3,NULL,17/02/2017,NULL,NULL
224,EMP000226,First_000226,Last_000226,2/09/2000,M,9,22,7,1,NULL,19/01/2017,NULL,NULL
225,EMP000227,First_000227,Last_000227,26/08/2000,F,2,10,2,2,NULL,21/12/2016,NULL,NULL
226,EMP000228,First_000228,Last_000228,19/08/2000,M,5,39,5,3,NULL,22/11/2016,NULL,NULL
227,EMP000229,First_000229,Last_000229,12/08/2000,F,8,7,8,1,NULL,24/10/2016,NULL,NULL
228,EMP000230,First_000230,Last_000230,5/08/2000,M,1,36,3,2,NULL,25/09/2016,20/06/2024,Termination
229,EMP000231,First_000231,Last_000231,29/07/2000,F,4,4,6,3,NULL,27/08/2016,NULL,NULL
230,EMP000232,First_000232,Last_000232,22/07/2000,M,7,33,1,1,NULL,29/07/2016,NULL,NULL
231,EMP000233,First_000233,Last_000233,15/07/2000,F,10,1,4,2,NULL,30/06/2016,NULL,NULL
232,EMP000234,First_000234,Last_000234,8/07/2000,M,3,30,7,3,NULL,1/06/2016,NULL,NULL
233,EMP000235,First_000235,Last_000235,1/07/2000,F,6,18,2,1,NULL,3/05/2016,NULL,NULL
234,EMP000236,First_000236,Last_000236,24/06/2000,M,9,27,5,2,NULL,4/04/2016,NULL,NULL
235,EMP000237,First_000237,Last_000237,17/06/2000,F,2,15,8,3,NULL,6/03/2016,NULL,NULL
236,EMP000238,First_000238,Last_000238,10/06/2000,M,5,24,3,1,NULL,6/02/2016,NULL,NULL
237,EMP000239,First_000239,Last_000239,3/06/2000,F,8,12,6,2,NULL,8/01/2016,NULL,NULL
238,EMP000240,First_000240,Last_000240,27/05/2000,M,1,21,1,3,NULL,10/12/2015,14/08/2024,Resignation
239,EMP000241,First_000241,Last_000241,20/05/2000,F,4,9,4,1,NULL,11/11/2015,NULL,NULL
240,EMP000242,First_000242,Last_000242,13/05/2000,M,7,38,7,2,NULL,13/10/2015,NULL,NULL
241,EMP000243,First_000243,Last_000243,6/05/2000,F,10,6,2,3,NULL,14/09/2015,NULL,NULL
242,EMP000244,First_000244,Last_000244,29/04/2000,M,3,35,5,1,NULL,16/08/2015,NULL,NULL
243,EMP000245,First_000245,Last_000245,22/04/2000,F,6,3,8,2,NULL,18/07/2015,NULL,NULL
244,EMP000246,First_000246,Last_000246,15/04/2000,M,9,32,3,3,NULL,19/06/2015,NULL,NULL
245,EMP000247,First_000247,Last_000247,8/04/2000,F,2,20,6,1,NULL,21/05/2015,NULL,NULL
246,EMP000248,First_000248,Last_000248,1/04/2000,M,5,29,1,2,NULL,22/04/2015,NULL,NULL
247,EMP000249,First_000249,Last_000249,25/03/2000,F,8,17,4,3,NULL,24/03/2015,NULL,NULL
248,EMP000250,First_000250,Last_000250,18/03/2000,M,1,26,7,1,NULL,23/02/2015,8/10/2024,Retirement
249,EMP000251,First_000251,Last_000251,11/03/2000,F,4,14,2,2,NULL,25/01/2015,NULL,NULL
