Channel;City;Region;Customer name;Order Date;Order ID;Department;Product Category (gender);Product Sub category;Product SKU;Product name; Distance from the warehouse ; Price ; Cost of sales ; Discount ; Order Quantity ; Sales 
Franchise;Carbrooke;Norfolk;B & S Tool And Cutter Svc Inc;04/01/2018;6854;Clothing;Men;Hoodies & Sweatshirts;MH03-S-Black;Bruno Compete Hoodie-S-Black;205;34;21,8;0,1;1;34
Franchise;Warlingham;Surrey;Berry, John M Esq;04/01/2018;41094;Clothing;Men;Hoodies & Sweatshirts;MH03-S-Blue;Bruno Compete Hoodie-S-Blue;50;30;717,6;0,1;46;1380
Franchise;Lye and Stourbridge North Ward;West Midlands;Alden, Michael H Esq;04/01/2018;6854;Clothing;Men;Hoodies & Sweatshirts;MH03-S-Green;Bruno Compete Hoodie-S-Green;25;45;572,9;0,1;19;855
Franchise;Newport;Isle of Wight;Ernest E Heuer & Company Pc;04/01/2018;16961;Clothing;Men;Hoodies & Sweatshirts;MH03-XL-Black;Bruno Compete Hoodie-XL-Black;80;39;848,6;0;34;1326
Franchise;Chichester;West Sussex;Frankel, Stephen;04/01/2018;23488;Clothing;Men;Hoodies & Sweatshirts;MH03-XL-Blue;Bruno Compete Hoodie-XL-Blue;20;37;665,3;0;29;1073
Small chain store;Loundsley Green Ward;Derbyshire;Guynes Design Inc;04/01/2018;16770;Clothing;Men;Hoodies & Sweatshirts;MH03-XL-Green;Bruno Compete Hoodie-XL-Green;55;34;213,9;0;17;578
Small chain store;Steornabhagh a Deas Ward;Western Isles;General Appraisal Co;04/01/2018;16961;Clothing;Men;Hoodies & Sweatshirts;MH03-XS-Black;Bruno Compete Hoodie-XS-Black;50;35;264,6;0,1;27;945
Small chain store;Parwich;Derbyshire;Sheraton Inn Ocean Front;04/01/2018;14274;Clothing;Men;Hoodies & Sweatshirts;MH03-XS-Blue;Bruno Compete Hoodie-XS-Blue;175;40;552;0;46;1840
Small chain store;South Ward;North Eart Lincolnshire;Cooper Myers Y Co;04/01/2018;48226;Clothing;Men;Hoodies & Sweatshirts;MH03-XS-Green;Bruno Compete Hoodie-XS-Green;60;22;141,7;0;23;506
Supermarket;Abbey Ward;Buckinghamshire;Cash 4 Checks;04/01/2018;41094;Clothing;Men;Hoodies & Sweatshirts;MH04;Frankie  Sweatshirt;160;38;120,8;0,1;6;228
Local store;Carbrooke;Norfolk;Charlotte Chamber;05/01/2018;18405;Clothing;Men;Hoodies & Sweatshirts;MH04-L-Green;Frankie  Sweatshirt-L-Green;205;20;216;0,1;30;600
Local store;Carbrooke;Norfolk;Kisc 98 Kiss Fm;05/01/2018;43909;Clothing;Men;Hoodies & Sweatshirts;MH04-L-White;Frankie  Sweatshirt-L-White;205;22;334;0,1;46;1012
Franchise;Newquay;Cornwall;Schwartzbard, Gail L Esq;05/01/2018;33923;Clothing;Men;Hoodies & Sweatshirts;MH04-L-Yellow;Frankie  Sweatshirt-L-Yellow;95;40;734,4;0,1;34;1360
Franchise;Brimpton;Berkshire;Marketing Horizons Inc;05/01/2018;3073;Clothing;Men;Hoodies & Sweatshirts;MH04-M-Green;Frankie  Sweatshirt-M-Green;35;41;143,5;0,1;7;287
Franchise;Shard End Ward;West Midlands;Brady, Brad J Esq;05/01/2018;40704;Clothing;Men;Hoodies & Sweatshirts;MH04-M-White;Frankie  Sweatshirt-M-White;35;39;135,7;0;6;234
Small chain store;Abbey Ward;Buckinghamshire;Welders Supply;05/01/2018;32295;Clothing;Men;Hoodies & Sweatshirts;MH04-M-Yellow;Frankie  Sweatshirt-M-Yellow;160;42;184,8;0,1;11;462
Supermarket;Dee Ward;Dumfries and Galloway;Rittenhouse Motor Co;05/01/2018;3073;Clothing;Men;Hoodies & Sweatshirts;MH04-S-Green;Frankie  Sweatshirt-S-Green;35;31;62,3;0,1;3;93
Supermarket;Letchworth South West Ward;Hertfordshire;Bomarko Inc;05/01/2018;18405;Clothing;Men;Hoodies & Sweatshirts;MH01-L-Orange;Chaz Kangeroo Hoodie-L-Orange;35;35;43,4;0;2;70
Supermarket;Letchworth South West Ward;Hertfordshire;Benitez, Brigida Esq;05/01/2018;3073;Clothing;Men;Hoodies & Sweatshirts;MH04-S-White;Frankie  Sweatshirt-S-White;35;45;79,7;0,1;3;135
Franchise;Longhill Ward;Yorkshire, East (North Humbers;Kennedy Scales Inc;06/01/2018;7203;Clothing;Men;Hoodies & Sweatshirts;MH04-S-Yellow;Frankie  Sweatshirt-S-Yellow;25;23;281,8;0;25;575
Small chain store;Abbey Ward;Buckinghamshire;Barajas & Bustamante Archl;06/01/2018;4193;Clothing;Men;Hoodies & Sweatshirts;MH04-XL-Green;Frankie  Sweatshirt-XL-Green;160;24;20,9;0;3;72
Small chain store;Franche Ward;Hereford and Worcester;Brewster Wallcoverings Co;06/01/2018;4193;Clothing;Men;Hoodies & Sweatshirts;MH04-XL-White;Frankie  Sweatshirt-XL-White;35;43;399;0,1;16;688
Supermarket;Whittington;Shropshire;Bohs Well Drilling Inc;06/01/2018;30083;Clothing;Men;Hoodies & Sweatshirts;MH04-XL-Yellow;Frankie  Sweatshirt-XL-Yellow;25;32;309,1;0,1;23;736
Local store;Whittington;Shropshire;Gavin, Lee W Esq;07/01/2018;47138;Clothing;Men;Hoodies & Sweatshirts;MH04-XS-Green;Frankie  Sweatshirt-XS-Green;25;26;7,3;0;1;26
Local store;Cockerton West Ward;Darlington;Reid, Carleton B Esq;07/01/2018;31715;Clothing;Men;Hoodies & Sweatshirts;MH04-XS-White;Frankie  Sweatshirt-XS-White;35;43;588,2;0,1;24;1032
Local store;Castle Ward;West Sussex;Canterbury, Christopher C;07/01/2018;8576;Clothing;Men;Hoodies & Sweatshirts;MH04-XS-Yellow;Frankie  Sweatshirt-XS-Yellow;40;31;853,1;  -  ;43;1333
Local store;Devizes;Wiltshire;Omni Mandalay;07/01/2018;58343;Clothing;Men;Hoodies & Sweatshirts;MH05;Hollister Backyard Sweatshirt;40;33;759,3;0,1;39;1287
Franchise;Colnbrook with Poyle;Buckinghamshire;Lba Savings Bank;07/01/2018;31715;Clothing;Men;Hoodies & Sweatshirts;MH05-L-Green;Hollister Backyard Sweatshirt-L-Green;55;28;172,5;0;11;308
Franchise;Parwich;Derbyshire;Lutz, Christopher T Esq;07/01/2018;18561;Clothing;Men;Hoodies & Sweatshirts;MH05-L-Red;Hollister Backyard Sweatshirt-L-Red;175;22;49,5;0;9;198
Supermarket;Abbey Ward;Buckinghamshire;Association Of Art Museum Dir;07/01/2018;40097;Clothing;Men;Hoodies & Sweatshirts;MH05-L-White;Hollister Backyard Sweatshirt-L-White;160;21;513,2;0,1;47;987
Supermarket;Marldon;Devon;L & L Sales Co Inc;07/01/2018;31715;Clothing;Men;Hoodies & Sweatshirts;MH05-M-Green;Hollister Backyard Sweatshirt-M-Green;45;35;739,2;0,1;44;1540
Local store;Aldridge Central and South War;West Midlands;Cavuto, John A;08/01/2018;33988;Clothing;Men;Hoodies & Sweatshirts;MH05-M-Red;Hollister Backyard Sweatshirt-M-Red;10;20;210;  -  ;30;600
Local store;Carbrooke;Norfolk;Pacific Coast Packaging;08/01/2018;28999;Clothing;Men;Hoodies & Sweatshirts;MH05-M-White;Hollister Backyard Sweatshirt-M-White;205;42;357;0;34;1428
Local store;Letchworth South West Ward;Hertfordshire;Storm Eye Institute;08/01/2018;31553;Clothing;Men;Hoodies & Sweatshirts;MH05-S-Green;Hollister Backyard Sweatshirt-S-Green;35;39;361,9;0,1;32;1248
Local store;East Putney Ward;Greater London;Automation Engrg & Mfg Inc;08/01/2018;28290;Clothing;Men;Hoodies & Sweatshirts;MH05-S-Red;Hollister Backyard Sweatshirt-S-Red;70;27;43,7;0;3;81
Franchise;Carbrooke;Norfolk;B & S Tool And Cutter Svc Inc;08/01/2018;44391;Clothing;Men;Hoodies & Sweatshirts;MH05-S-White;Hollister Backyard Sweatshirt-S-White;205;34;331,8;0;16;544
Franchise;Abbey Ward;Buckinghamshire;Packaging Corp Of America;08/01/2018;55367;Clothing;Men;Hoodies & Sweatshirts;MH05-XL-Green;Hollister Backyard Sweatshirt-XL-Green;160;28;260,4;0,1;31;868
Franchise;Hawerby cum Beesby;Lincolnshire;Goe, Douglas E Esq;08/01/2018;55367;Clothing;Men;Hoodies & Sweatshirts;MH05-XL-Red;Hollister Backyard Sweatshirt-XL-Red;40;33;934,6;0,1;48;1584
Franchise;Loundsley Green Ward;Derbyshire;Burgess Steel Products Corp;08/01/2018;20037;Clothing;Men;Hoodies & Sweatshirts;MH05-XL-White;Hollister Backyard Sweatshirt-XL-White;55;21;485,1;0;35;735
Franchise;Sawston;Cambridgeshire;Tipton & Hurst;08/01/2018;14596;Clothing;Men;Hoodies & Sweatshirts;MH05-XS-Green;Hollister Backyard Sweatshirt-XS-Green;5;26;399,4;0;24;624
Franchise;Chirton Ward;Tyne & Wear;In Communications Inc;08/01/2018;28290;Clothing;Men;Hoodies & Sweatshirts;MH05-XS-Red;Hollister Backyard Sweatshirt-XS-Red;130;22;397,3;0,1;43;946
Supermarket;Abbey Ward;Buckinghamshire;A O Hardee & Son Inc;08/01/2018;14596;Clothing;Men;Hoodies & Sweatshirts;MH05-XS-White;Hollister Backyard Sweatshirt-XS-White;160;25;304;0,1;19;475
Supermarket;Parwich;Derbyshire;Jonson, Geo D Esq;08/01/2018;20037;Clothing;Men;Hoodies & Sweatshirts;MH06;Stark Fundamental Hoodie;175;25;490;0;49;1225
Local store;Broxburn, Uphall and Winchburg;West Lothian;Wilhelm, James E Jr;09/01/2018;33797;Clothing;Men;Hoodies & Sweatshirts;MH06-L-Black;Stark Fundamental Hoodie-L-Black;155;39;252,7;0;18;702
Franchise;Longhill Ward;Yorkshire, East (North Humbers;Dale Yoder Clu Life Hlth & Bus;09/01/2018;33797;Clothing;Men;Hoodies & Sweatshirts;MH06-L-Blue;Stark Fundamental Hoodie-L-Blue;25;28;319,2;0,1;20;560
Franchise;Abbey Ward;Buckinghamshire;Council Of Cmnty Blood Ctrs;09/01/2018;19655;Clothing;Men;Hoodies & Sweatshirts;MH06-L-Purple;Stark Fundamental Hoodie-L-Purple;160;27;502,2;0,1;31;837
Franchise;Abbey Ward;Buckinghamshire;Tremont, Michael A Esq;09/01/2018;21830;Clothing;Men;Hoodies & Sweatshirts;MH06-M-Black;Stark Fundamental Hoodie-M-Black;160;28;276,6;0,1;19;532
Franchise;Parwich;Derbyshire;Trautman, Eileen Esq;09/01/2018;33797;Clothing;Men;Hoodies & Sweatshirts;MH06-M-Blue;Stark Fundamental Hoodie-M-Blue;175;38;716,3;0,1;29;1102
Franchise;Castle Ward;West Sussex;Office Service Co;09/01/2018;33797;Clothing;Men;Hoodies & Sweatshirts;MH06-M-Purple;Stark Fundamental Hoodie-M-Purple;40;38;551,8;0;44;1672
Supermarket;Carbrooke;Norfolk;Alphabetland Pre School Center;09/01/2018;33797;Clothing;Men;Hoodies & Sweatshirts;MH06-S-Black;Stark Fundamental Hoodie-S-Black;205;26;280,8;0,1;18;468
Local store;Broxburn, Uphall and Winchburg;West Lothian;Shamrock Food Service;10/01/2018;20549;Clothing;Men;Hoodies & Sweatshirts;MH06-S-Blue;Stark Fundamental Hoodie-S-Blue;155;43;808,4;0,1;40;1720
Local store;Parwich;Derbyshire;Central Hrdwr & Elec Corp;10/01/2018;7461;Clothing;Men;Hoodies & Sweatshirts;MH06-S-Purple;Stark Fundamental Hoodie-S-Purple;175;25;583;0;44;1100
Franchise;Abbey Ward;Buckinghamshire;Matt Parrott & Sons Co;10/01/2018;43362;Clothing;Men;Hoodies & Sweatshirts;MH06-XL-Black;Stark Fundamental Hoodie-XL-Black;160;21;298;0;33;693
Small chain store;Abbey Ward;Buckinghamshire;Tiny Tots Originals Div;10/01/2018;27813;Clothing;Men;Hoodies & Sweatshirts;MH06-XL-Blue;Stark Fundamental Hoodie-XL-Blue;160;42;273;0,1;10;420
Small chain store;Darnall Ward;Yorkshire, South;Jackson & Heit Machine Co Inc;10/01/2018;7461;Clothing;Men;Hoodies & Sweatshirts;MH06-XL-Purple;Stark Fundamental Hoodie-XL-Purple;85;23;132,5;0,1;12;276
Supermarket;Abbey Ward;Buckinghamshire;Lovitch, Alan F;10/01/2018;37862;Clothing;Men;Hoodies & Sweatshirts;MH06-XS-Black;Stark Fundamental Hoodie-XS-Black;160;43;406,4;0;27;1161
Supermarket;New Milton;Hampshire;Wise Industries;10/01/2018;43362;Clothing;Men;Hoodies & Sweatshirts;MH02-XS-Red;Teton Pullover Hoodie-XS-Red;35;25;483,8;0;45;1125
Supermarket;Whittington;Shropshire;East County Process;10/01/2018;7461;Clothing;Men;Hoodies & Sweatshirts;MH06-XS-Blue;Stark Fundamental Hoodie-XS-Blue;25;44;665,3;  -  ;28;1232
Franchise;Wakefield North Ward;West Yorkshire;Agopgee Enterprises Inc;11/01/2018;25541;Clothing;Men;Hoodies & Sweatshirts;MH06-XS-Purple;Stark Fundamental Hoodie-XS-Purple;10;44;1.078,00;0,1;50;2200
Franchise;Abbey Ward;Buckinghamshire;L Winik & Associates Inc;11/01/2018;13602;Clothing;Men;Hoodies & Sweatshirts;MH07;Hero Hoodie;160;40;32,4;0;3;120
Franchise;St. Enoder;Cornwall;Rosati, Marc D Esq;11/01/2018;13602;Clothing;Men;Hoodies & Sweatshirts;MH07-L-Black;Hero Hoodie-L-Black;30;25;208;0;13;325
Small chain store;Ryde;Isle of Wight;Rust Evader Corp;11/01/2018;51623;Clothing;Men;Hoodies & Sweatshirts;MH07-L-Gray;Hero Hoodie-L-Gray;40;39;338,1;0,1;17;663
Local store;Carbrooke;Norfolk;Budget Annex;12/01/2018;43911;Clothing;Men;Hoodies & Sweatshirts;MH07-L-Green;Hero Hoodie-L-Green;205;27;192,5;0,1;23;621
Local store;Broxburn, Uphall and Winchburg;West Lothian;Wilhelm, James E Jr;12/01/2018;8325;Clothing;Men;Hoodies & Sweatshirts;MH07-M-Black;Hero Hoodie-M-Black;155;38;319,2;0,1;21;798
Local store;Bargate Ward;Southampton;Kiqo Pure Gold Oldies 104 Fm;12/01/2018;30567;Clothing;Men;Hoodies & Sweatshirts;MH07-M-Gray;Hero Hoodie-M-Gray;35;42;70,6;0;3;126
Franchise;Abbey Ward;Buckinghamshire;Segall Majestic Inc;12/01/2018;43911;Clothing;Men;Hoodies & Sweatshirts;MH06-M-Black;Stark Fundamental Hoodie-M-Black;160;24;361,9;0,1;29;696
Franchise;St. Stephens Ward;Kent;Taos Valley Resort Assn;12/01/2018;30567;Clothing;Men;Hoodies & Sweatshirts;MH07-M-Green;Hero Hoodie-M-Green;40;32;120,3;0,1;8;256
Franchise;Chirton Ward;Tyne & Wear;In Communications Inc;12/01/2018;34691;Clothing;Men;Hoodies & Sweatshirts;MH05-L-Green;Hollister Backyard Sweatshirt-L-Green;130;33;402,3;0;23;759
Small chain store;Carbrooke;Norfolk;Exhibit Crafts Inc;12/01/2018;43911;Clothing;Men;Hoodies & Sweatshirts;MH06-XL-Black;Stark Fundamental Hoodie-XL-Black;205;33;487,1;  -  ;36;1188
Small chain store;Laindon Park Ward;Essex;Laitinen, Stephen B Esq;12/01/2018;30567;Clothing;Men;Hoodies & Sweatshirts;MH07-S-Black;Hero Hoodie-S-Black;90;42;282,2;0;14;588
Small chain store;Abbey Ward;Buckinghamshire;Herr Foods Inc;12/01/2018;34691;Clothing;Men;Hoodies & Sweatshirts;MH03-M-Black;Bruno Compete Hoodie-M-Black;160;27;291,6;0,1;27;729
Small chain store;Lymington and Pennington;Hampshire;Tiburon Pen Chmbr Commrce Inc;12/01/2018;8325;Clothing;Men;Hoodies & Sweatshirts;MH07-S-Gray;Hero Hoodie-S-Gray;45;38;554;0,1;27;1026
Supermarket;New Milton;Hampshire;Wise Industries;12/01/2018;30567;Clothing;Men;Hoodies & Sweatshirts;MH07-S-Green;Hero Hoodie-S-Green;35;21;179,3;0,1;14;294
Supermarket;Aylesbury;Buckinghamshire;Agri Business Insurance Agency;12/01/2018;34691;Clothing;Men;Hoodies & Sweatshirts;MH07-XL-Black;Hero Hoodie-XL-Black;80;37;312,7;0,1;13;481
Local store;Burmantofts and Richmond Hill ;West Yorkshire;Gerstenfeld, Gerald F Esq;13/01/2018;22243;Clothing;Men;Hoodies & Sweatshirts;MH07-XL-Gray;Hero Hoodie-XL-Gray;40;24;73,4;0,1;9;216
Local store;Howard Town Ward;Derbyshire;Mcdonald, Michael J Esq;13/01/2018;6884;Clothing;Men;Hoodies & Sweatshirts;MH07-XL-Green;Hero Hoodie-XL-Green;45;35;574;0;41;1435
Franchise;Farnham;Surrey;Best Western Riverview Inn;13/01/2018;6884;Clothing;Men;Hoodies & Sweatshirts;MH07-XS-Black;Hero Hoodie-XS-Black;55;32;721,9;0;47;1504
Franchise;Newport;Isle of Wight;Ernest E Heuer & Company Pc;13/01/2018;48773;Clothing;Men;Hoodies & Sweatshirts;MH07-XS-Gray;Hero Hoodie-XS-Gray;80;35;102,9;0,1;7;245
Small chain store;Parkham;Devon;Berg, Michael D Esq;13/01/2018;37729;Clothing;Men;Hoodies & Sweatshirts;MH07-XS-Green;Hero Hoodie-XS-Green;90;20;508,8;  -  ;48;960
Supermarket;South Ward;North Eart Lincolnshire;Nature Conservancy;13/01/2018;12676;Clothing;Men;Hoodies & Sweatshirts;MH08;Oslo Trek Hoodie;60;45;438,8;0,1;25;1125
Local store;Carbrooke;Norfolk;Kisc 98 Kiss Fm;14/01/2018;30915;Clothing;Men;Hoodies & Sweatshirts;MH07-S-Black;Hero Hoodie-S-Black;205;30;277,5;0;25;750
Local store;Parwich;Derbyshire;Central Hrdwr & Elec Corp;14/01/2018;2370;Clothing;Men;Hoodies & Sweatshirts;MH08-L-Brown;Oslo Trek Hoodie-L-Brown;175;37;91;0;6;222
Local store;Beeston West Ward;Nottinghamshire;Walker, Susan S Esq;14/01/2018;31781;Clothing;Men;Hoodies & Sweatshirts;MH08-L-Purple;Oslo Trek Hoodie-L-Purple;140;21;318,8;0,1;46;966
Franchise;Abbey Ward;Buckinghamshire;Alternative Collection Svc Inc;14/01/2018;31781;Clothing;Men;Hoodies & Sweatshirts;MH08-L-Red;Oslo Trek Hoodie-L-Red;160;29;309,1;0;41;1189
Franchise;Abbey Ward;Buckinghamshire;Johnson, Matthew E Esq;14/01/2018;2370;Clothing;Men;Hoodies & Sweatshirts;MH04-S-Yellow;Frankie  Sweatshirt-S-Yellow;160;34;622,2;0;30;1020
Franchise;Wollaton West Ward;Nottinghamshire;Thornsjo, Dale O Esq;14/01/2018;22147;Clothing;Men;Hoodies & Sweatshirts;MH08-M-Brown;Oslo Trek Hoodie-M-Brown;15;30;555;0;37;1110
Small chain store;Loundsley Green Ward;Derbyshire;Manhattan Supply Co Deer Pk;14/01/2018;49541;Clothing;Men;Hoodies & Sweatshirts;MH08-M-Purple;Oslo Trek Hoodie-M-Purple;55;39;709,8;  -  ;35;1365
