Category,City,Country.Region,Customer.Name,Discount..bin.,Manufacturer,Order.Date,Order.ID,Postal.Code,Product.Name,Promo,Region,Segment,Ship.Date,Ship.Mode,State,Discount,Profit,Quantity,Sales
Furniture,Orem,United States,Emily Burns,0.0,Bretford,25/09/2018,CA-2018-106320,84057,Bretford CR4500 Series Slim Rectangular Table,After promo,West,Consumer,30/09/2018,Standard Class,Utah,0,240.2649,3,1044.63
Office Supplies,Los Angeles,United States,Eric Hoffmann,0.3,Wilson Jones,16/01/2019,CA-2019-121755,90049,Wilson Jones Active Use Binders,Binders,West,Consumer,20/01/2019,Second Class,California,0.12151067100288247,4.2224,2,11.648
Technology,Los Angeles,United States,Eric Hoffmann,0.0,Other,16/01/2019,CA-2019-121755,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Accessories,West,Consumer,20/01/2019,Second Class,California,0.0022670176345852555,11.7741,3,90.57
Furniture,Philadelphia,United States,Tracy Blumstein,0.9,Riverside,17/09/2018,US-2018-150630,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,East,Consumer,21/09/2018,Standard Class,Pennsylvania,0.4785912339856495,-1665.0522,7,3083.43
Office Supplies,Philadelphia,United States,Tracy Blumstein,1.3,Avery,17/09/2018,US-2018-150630,19140,Avery Recycled Flexi-View Covers for Binding Systems,Binders,East,Consumer,21/09/2018,Standard Class,Pennsylvania,0.6813082698212862,-7.0532,2,9.618
Furniture,Philadelphia,United States,Tracy Blumstein,0.3,Howard Miller,17/09/2018,US-2018-150630,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings,East,Consumer,21/09/2018,Standard Class,Pennsylvania,0.19451849396226958,15.525,3,124.2
Office Supplies,Philadelphia,United States,Tracy Blumstein,0.3,Poly,17/09/2018,US-2018-150630,19140,Poly String Tie Envelopes,Envelopes,East,Consumer,21/09/2018,Standard Class,Pennsylvania,0.1133051932181608,1.1016,2,3.264
Office Supplies,Philadelphia,United States,Tracy Blumstein,0.3,Boston,17/09/2018,US-2018-150630,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Art,East,Consumer,21/09/2018,Standard Class,Pennsylvania,0.14772630864834013,9.7092,6,86.304
Office Supplies,Philadelphia,United States,Tracy Blumstein,1.3,Acco,17/09/2018,US-2018-150630,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Binders,East,Consumer,21/09/2018,Standard Class,Pennsylvania,0.7286413628322136,-5.715,6,6.858
Office Supplies,Philadelphia,United States,Tracy Blumstein,0.3,Other,17/09/2018,US-2018-150630,19140,Lumber Crayons,Art,East,Consumer,21/09/2018,Standard Class,Pennsylvania,0.12653856022163157,3.546,2,15.76
Office Supplies,Houston,United States,Matt Abelman,0.3,Easy-staple paper,19/10/2020,CA-2020-107727,77095,Easy-staple paper,Paper,Central,Home Office,23/10/2020,Second Class,Texas,0.1928926836815762,9.9468,3,29.472
Technology,Richardson,United States,Gene Hale,0.3,GE,08/12/2019,CA-2019-117590,75080,GE 30524EE4,Phones,Central,Corporate,10/12/2019,First Class,Texas,0.20938933455180314,123.4737,7,1097.544
Furniture,Richardson,United States,Gene Hale,1.1,Electrix,08/12/2019,CA-2019-117590,75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furnishings,Central,Corporate,10/12/2019,First Class,Texas,0.648734980743829,-147.963,5,190.92
Office Supplies,Houston,United States,Steve Nguyen,0.3,Other,27/12/2018,CA-2018-117415,77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,Central,Home Office,31/12/2018,Standard Class,Texas,0.28928342428542636,35.415,9,113.328
Furniture,Houston,United States,Steve Nguyen,0.6,Atlantic,27/12/2018,CA-2018-117415,77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,Central,Home Office,31/12/2018,Standard Class,Texas,0.3232227252949769,-46.9764,3,532.3992
Furniture,Houston,United States,Steve Nguyen,0.5,Global,27/12/2018,CA-2018-117415,77041,"Global Fabric Manager's Chair, Dark Gray",Chairs,Central,Home Office,31/12/2018,Standard Class,Texas,0.31668165638937407,-15.147,3,212.058
Technology,Houston,United States,Steve Nguyen,0.3,Plantronics,27/12/2018,CA-2018-117415,77041,Plantronics HL10 Handset Lifter,Phones,Central,Home Office,31/12/2018,Standard Class,Texas,0.24167950535478516,41.7564,4,371.168
Technology,Naperville,United States,Linda Cazamias,0.3,Panasonic,10/09/2020,CA-2020-120999,60540,Panasonic Kx-TS550,Phones,Central,Corporate,15/09/2020,Standard Class,Illinois,0.12566051036612963,16.5564,4,147.168
Office Supplies,Los Angeles,United States,Ruben Ausman,0.0,Eldon,17/07/2019,CA-2019-101343,90049,"Eldon Base for stackable storage shelf, platinum",Storage,West,Corporate,22/07/2019,Standard Class,California,0,3.894,2,77.88
Office Supplies,Melbourne,United States,Erin Smith,0.3,Advantus,19/09/2020,CA-2020-139619,32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Storage,South,Corporate,23/09/2020,Standard Class,Florida,0.1779848572952232,9.5616,2,95.616
Technology,Eagan,United States,Odella Nelson,0.0,Verbatim,11/03/2019,CA-2019-118255,55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Accessories,Central,Corporate,13/03/2019,First Class,Minnesota,0.04320141252422229,19.7714,2,45.98
Office Supplies,Eagan,United States,Odella Nelson,0.0,Wilson Jones,11/03/2019,CA-2019-118255,55122,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders,Central,Corporate,13/03/2019,First Class,Minnesota,0,8.2062,2,17.46
Office Supplies,Westland,United States,Patrick O'Donnell,0.0,Gould Plastics,20/10/2017,CA-2017-146703,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Storage,Central,Consumer,25/10/2017,Second Class,Michigan,0,8.4784,4,211.96
Technology,Dover,United States,Lena Hernandez,0.0,Imation,20/06/2019,CA-2019-169194,19901,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,East,Consumer,25/06/2019,Standard Class,Delaware,0.08721457216887706,4.95,3,45
Technology,Dover,United States,Lena Hernandez,0.0,Other,20/06/2019,CA-2019-169194,19901,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Phones,East,Consumer,25/06/2019,Standard Class,Delaware,0,6.104,2,21.8
Office Supplies,New Albany,United States,Darren Powers,0.0,C-Line,18/04/2018,CA-2018-115742,47150,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Binders,Central,Consumer,22/04/2018,Standard Class,Indiana,0,17.9634,6,38.22
Office Supplies,New Albany,United States,Darren Powers,0.0,Avery,18/04/2018,CA-2018-115742,47150,Avery 485,Labels,Central,Consumer,22/04/2018,Standard Class,Indiana,0,35.3346,6,75.18
Furniture,New Albany,United States,Darren Powers,0.0,Other,18/04/2018,CA-2018-115742,47150,Longer-Life Soft White Bulbs,Furnishings,Central,Consumer,22/04/2018,Standard Class,Indiana,0,2.9568,2,6.16
Furniture,New Albany,United States,Darren Powers,0.0,Global,18/04/2018,CA-2018-115742,47150,"Global Leather Task Chair, Black",Chairs,Central,Consumer,22/04/2018,Standard Class,Indiana,0,17.0981,1,89.99
Office Supplies,New York City,United States,Janet Molinari,0.0,Advantus,11/12/2019,CA-2019-105816,10024,Advantus Push Pins,Fasteners,East,Corporate,17/12/2019,Standard Class,New York,0,6.2566,7,15.26
Technology,New York City,United States,Janet Molinari,0.0,AT&T,11/12/2019,CA-2019-105816,10024,AT&T CL83451 4-Handset Telephone,Phones,East,Corporate,17/12/2019,Standard Class,New York,0.017032236652446894,298.6855,5,1029.95
Office Supplies,Troy,United States,Ted Butterfield,0.0,Other,17/06/2019,CA-2019-111682,12180,Home/Office Personal File Carts,Storage,East,Consumer,18/06/2019,First Class,New York,0.07664300813264277,52.14,6,208.56
Office Supplies,Troy,United States,Ted Butterfield,0.0,Xerox,17/06/2019,CA-2019-111682,12180,Xerox 232,Paper,East,Consumer,18/06/2019,First Class,New York,0,15.552,5,32.4
Furniture,Troy,United States,Ted Butterfield,0.1,Novimex,17/06/2019,CA-2019-111682,12180,Novimex Turbo Task Chair,Chairs,East,Consumer,18/06/2019,First Class,New York,0.10288083267483834,7.098,5,319.41
Office Supplies,Troy,United States,Ted Butterfield,0.0,Array,17/06/2019,CA-2019-111682,12180,"Array Parchment Paper, Assorted Colors",Paper,East,Consumer,18/06/2019,First Class,New York,0,6.9888,2,14.56
Technology,Troy,United States,Ted Butterfield,0.0,Imation,17/06/2019,CA-2019-111682,12180,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,East,Consumer,18/06/2019,First Class,New York,0.07935650928378161,3.3,2,30
Office Supplies,Troy,United States,Ted Butterfield,0.3,Other,17/06/2019,CA-2019-111682,12180,Plastic Binding Combs,Binders,East,Consumer,18/06/2019,First Class,New York,0.23030752065595853,16.362,4,48.48
Office Supplies,Troy,United States,Ted Butterfield,0.0,Prang,17/06/2019,CA-2019-111682,12180,Prang Dustless Chalk Sticks,Art,East,Consumer,18/06/2019,First Class,New York,0.09569821926555473,0.84,1,1.68
Technology,Los Angeles,United States,Kunst Miller,0.0,Verbatim,24/11/2018,CA-2018-135545,90004,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Accessories,West,Consumer,30/11/2018,Standard Class,California,0.027417305763807853,6.1512,2,13.98
Office Supplies,Los Angeles,United States,Kunst Miller,0.3,Acco,24/11/2018,CA-2018-135545,90004,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Binders,West,Consumer,30/11/2018,Standard Class,California,0.16419670679043458,9.3612,6,25.824
Office Supplies,Los Angeles,United States,Kunst Miller,0.0,Xerox,24/11/2018,CA-2018-135545,90004,Xerox 1943,Paper,West,Consumer,30/11/2018,Standard Class,California,0.007797331609268745,68.9631,3,146.73
Furniture,Los Angeles,United States,Kunst Miller,0.0,Luxo,24/11/2018,CA-2018-135545,90004,Luxo Economy Swing Arm Lamp,Furnishings,West,Consumer,30/11/2018,Standard Class,California,0.01595561485737386,22.3328,4,79.76
Furniture,Chicago,United States,Paul Stevenson,0.5,Global,30/04/2018,US-2018-164175,60610,"Global Value Mid-Back Manager's Chair, Gray",Chairs,Central,Home Office,05/05/2018,Standard Class,Illinois,0.3628613770693563,-15.2225,5,213.115
Office Supplies,Gilbert,United States,Brendan Sweed,0.3,Hunt,05/12/2017,CA-2017-106376,85234,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Art,West,Corporate,10/12/2017,Standard Class,Arizona,0.18237351536953111,111.3024,8,1113.024
Technology,Gilbert,United States,Brendan Sweed,0.3,Other,05/12/2017,CA-2017-106376,85234,netTALK DUO VoIP Telephone Service,Phones,West,Corporate,10/12/2017,Standard Class,Arizona,0.24055756944685702,62.988,4,167.968
Office Supplies,Springfield,United States,Karen Daniels,0.0,Other,04/06/2019,CA-2019-119823,22153,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,South,Consumer,06/06/2019,First Class,Virginia,0,35.6636,2,75.88
Office Supplies,New York City,United States,Henry MacAllister,0.3,Avery,18/09/2019,CA-2019-106075,10009,Avery Binding System Hidden Tab Executive Style Index Sets,Binders,East,Consumer,23/09/2019,Standard Class,New York,0.1829140159792378,1.731,1,4.616
Office Supplies,Jackson,United States,Tracy Blumstein,0.0,Other,14/09/2020,CA-2020-114440,49201,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,Central,Consumer,17/09/2020,Second Class,Michigan,0,8.763,3,19.05
Furniture,Memphis,United States,Joel Eaton,0.3,Other,26/04/2018,US-2018-134026,38109,High-Back Leather Manager's Chair,Chairs,South,Consumer,02/05/2018,Standard Class,Tennessee,0.20132556622182934,-114.3912,8,831.936
Furniture,Memphis,United States,Joel Eaton,0.3,Tenex,26/04/2018,US-2018-134026,38109,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furnishings,South,Consumer,02/05/2018,Standard Class,Tennessee,0.1426424453584637,1.213,2,97.04
Office Supplies,Memphis,United States,Joel Eaton,0.3,SAFCO,26/04/2018,US-2018-134026,38109,Safco Industrial Wire Shelving System,Storage,South,Consumer,02/05/2018,Standard Class,Tennessee,0.2988862922236776,-18.196,1,72.784
Office Supplies,Houston,United States,Ken Brennan,1.5,Other,09/12/2020,US-2020-118038,77041,Economy Binders,Binders,Central,Corporate,11/12/2020,First Class,Texas,0.7447268931751391,-1.9344,3,1.248
Furniture,Houston,United States,Ken Brennan,1.1,Other,09/12/2020,US-2020-118038,77041,"6"" Cubicle Wall Clock, Black",Furnishings,Central,Corporate,11/12/2020,First Class,Texas,0.6601105506927917,-5.8248,3,9.708
Office Supplies,Houston,United States,Ken Brennan,0.3,Other,09/12/2020,US-2020-118038,77041,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Storage,Central,Corporate,11/12/2020,First Class,Texas,0.1954681094238726,2.724,3,27.24
Furniture,Houston,United States,Joel Eaton,1.1,Eldon,26/11/2017,US-2017-147606,77070,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furnishings,Central,Consumer,01/12/2017,Second Class,Texas,0.5444980502700117,-14.475,5,19.3
Office Supplies,Decatur,United States,Stewart Carmichael,0.0,Other,12/06/2019,CA-2019-127208,35601,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,South,Corporate,15/06/2019,First Class,Alabama,0,56.2032,1,208.16
Office Supplies,Decatur,United States,Stewart Carmichael,0.0,Avery,12/06/2019,CA-2019-127208,35601,Avery Heavy-Duty EZD  Binder With Locking Rings,Binders,South,Corporate,15/06/2019,First Class,Alabama,0.0294827994175409,8.0352,3,16.74
Office Supplies,San Francisco,United States,Duane Noonan,0.0,Other,12/10/2017,CA-2017-139451,94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Art,West,Consumer,16/10/2017,Standard Class,California,0.07778460569496375,4.172,5,14.9
Office Supplies,San Francisco,United States,Duane Noonan,0.0,Other,12/10/2017,CA-2017-139451,94122,"Sortfiler Multipurpose Personal File Organizer, Black",Storage,West,Consumer,16/10/2017,Standard Class,California,0.09455110469322511,6.2031,1,21.39
Office Supplies,Durham,United States,Julie Creighton,0.3,Other,03/09/2018,CA-2018-149734,27707,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Envelopes,South,Corporate,08/09/2018,Standard Class,North Carolina,0.1847399713550336,62.8075,7,200.984
Office Supplies,Chicago,United States,Christopher Schild,0.3,SAFCO,13/11/2020,US-2020-119662,60623,Safco Industrial Wire Shelving,Storage,Central,Home Office,16/11/2020,First Class,Illinois,0.21448982729362193,-48.9549,3,230.376
Furniture,Columbia,United States,Patrick O'Donnell,0.0,Novimex,28/05/2020,CA-2020-140088,29203,Novimex Swivel Fabric Task Chair,Chairs,South,Consumer,30/05/2020,Second Class,South Carolina,0,33.2156,2,301.96
Technology,Rochester,United States,Paul Gonzalez,0.0,Logitech,26/10/2020,CA-2020-155558,55901,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Accessories,Central,Consumer,02/11/2020,Standard Class,Minnesota,0.019368054997173798,6.7966,1,19.99
Office Supplies,Rochester,United States,Paul Gonzalez,0.0,Avery,26/10/2020,CA-2020-155558,55901,Avery 511,Labels,Central,Consumer,02/11/2020,Standard Class,Minnesota,0.047911377903068736,2.9568,2,6.16
Office Supplies,Houston,United States,Gary Mitchum,0.3,Eldon,05/04/2019,CA-2019-159695,77095,Eldon Portable Mobile Manager,Storage,Central,Home Office,10/04/2019,Second Class,Texas,0.2840554374698647,13.8572,7,158.368
Office Supplies,Los Angeles,United States,Jim Sink,0.0,Other,17/09/2019,CA-2019-109806,90036,Turquoise Lead Holder with Pocket Clip,Art,West,Corporate,22/09/2019,Standard Class,California,0.038972106434893974,6.633,3,20.1
Technology,Los Angeles,United States,Jim Sink,0.3,Panasonic,17/09/2019,CA-2019-109806,90036,Panasonic Kx-TS550,Phones,West,Corporate,22/09/2019,Standard Class,California,0.2523226816312636,8.2782,2,73.584
Office Supplies,Los Angeles,United States,Jim Sink,0.0,Xerox,17/09/2019,CA-2019-109806,90036,Xerox 1995,Paper,West,Corporate,22/09/2019,Standard Class,California,0,3.1104,1,6.48
Office Supplies,Minneapolis,United States,Karl Braun,0.0,Xerox,31/01/2018,CA-2018-149587,55407,Xerox 1999,Paper,Central,Consumer,05/02/2018,Second Class,Minnesota,0.09684614986180193,6.2208,2,12.96
Furniture,Minneapolis,United States,Karl Braun,0.0,Seth Thomas,31/01/2018,CA-2018-149587,55407,"Seth Thomas 13 1/2"" Wall Clock",Furnishings,Central,Consumer,05/02/2018,Second Class,Minnesota,0,16.5354,3,53.34
Office Supplies,Minneapolis,United States,Karl Braun,0.0,Ibico,31/01/2018,CA-2018-149587,55407,Ibico Standard Transparent Covers,Binders,Central,Consumer,05/02/2018,Second Class,Minnesota,0,16.1504,2,32.96
Office Supplies,Portland,United States,Roger Barcio,1.3,Other,06/11/2020,US-2020-109484,97206,Flexible Leather- Look Classic Collection Ring Binder,Binders,West,Home Office,12/11/2020,Standard Class,Oregon,0.7698586193449813,-3.788,1,5.682
Furniture,New York City,United States,Parhena Norris,0.0,Other,09/11/2020,CA-2020-161018,10009,9-3/4 Diameter Round Wall Clock,Furnishings,East,Home Office,11/11/2020,Second Class,New York,0,40.5426,7,96.53
Office Supplies,San Francisco,United States,Katherine Ducich,0.3,Other,17/06/2020,CA-2020-157833,94122,Trimflex Flexible Post Binders,Binders,West,Consumer,20/06/2020,First Class,California,0.2491237181000175,17.9592,3,51.312
Office Supplies,Saint Paul,United States,Elpida Rittenbach,0.0,Fellowes,06/09/2019,CA-2019-149223,55106,Fellowes Basic Home/Office Series Surge Protectors,Appliances,Central,Corporate,11/09/2019,Standard Class,Minnesota,0.005061754118650591,22.5852,6,77.88
Office Supplies,Chicago,United States,Rick Bensley,0.3,Avery,29/08/2019,CA-2019-158568,60610,Avery Personal Creations Heavyweight Cards,Paper,Central,Home Office,02/09/2019,Standard Class,Illinois,0.12005014983612072,22.6184,7,64.624
Technology,Chicago,United States,Rick Bensley,0.3,SanDisk,29/08/2019,CA-2019-158568,60610,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Accessories,Central,Home Office,02/09/2019,Standard Class,Illinois,0.2820945066579714,-10.7973,3,95.976
Office Supplies,Chicago,United States,Rick Bensley,1.5,Avery,29/08/2019,CA-2019-158568,60610,Avery Hidden Tab Dividers for Binding Systems,Binders,Central,Home Office,02/09/2019,Standard Class,Illinois,0.7602954547788247,-3.0396,3,1.788
Office Supplies,Rochester,United States,Gary Zandusky,0.0,Universal,01/12/2019,CA-2019-129903,55901,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Paper,Central,Consumer,04/12/2019,Second Class,Minnesota,0.07052976281068482,11.7208,4,23.92
Technology,Aurora,United States,Lena Cacioppo,0.3,Logitech,13/11/2018,US-2018-156867,80013,Logitech K350 2.4Ghz Wireless Keyboard,Accessories,West,Consumer,17/11/2018,Standard Class,Colorado,0.1075256141852597,-26.8758,6,238.896
Furniture,Aurora,United States,Lena Cacioppo,0.3,Deflect-o,13/11/2018,US-2018-156867,80013,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furnishings,West,Consumer,17/11/2018,Standard Class,Colorado,0.19303821690989734,-3.8385,3,102.36
Office Supplies,Aurora,United States,Lena Cacioppo,1.3,Avery,13/11/2018,US-2018-156867,80013,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders,West,Consumer,17/11/2018,Standard Class,Colorado,0.6372396580183113,-25.8174,3,36.882
Technology,Charlotte,United States,Janet Martin,0.3,Memorex,23/11/2020,CA-2020-119004,28205,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Accessories,South,Consumer,28/11/2020,Standard Class,North Carolina,0.24697007569623627,17.6016,8,74.112
Technology,Charlotte,United States,Janet Martin,0.3,Other,23/11/2020,CA-2020-119004,28205,Speck Products Candyshell Flip Case,Phones,South,Consumer,28/11/2020,Standard Class,North Carolina,0.1922230630650283,2.0994,1,27.992
Office Supplies,Charlotte,United States,Janet Martin,0.3,Newell,23/11/2020,CA-2020-119004,28205,Newell Chalk Holder,Art,South,Consumer,28/11/2020,Standard Class,North Carolina,0.19927208032749646,1.0738,1,3.304
Technology,Orland Park,United States,Pete Armstrong,0.3,Logitech,15/10/2018,CA-2018-129476,60462,Logitech Gaming G510s - Keyboard,Accessories,Central,Home Office,20/10/2018,Standard Class,Illinois,0.13751410695758448,67.992,5,339.96
Furniture,New York City,United States,Cynthia Voltz,0.0,Other,25/12/2020,CA-2020-146780,10035,Magnifier Swing Arm Lamp,Furnishings,East,Corporate,30/12/2020,Standard Class,New York,0,10.9096,2,41.96
Office Supplies,Urbandale,United States,Clay Ludtke,0.0,Hunt,03/11/2019,CA-2019-128867,50322,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Art,Central,Consumer,10/11/2019,Standard Class,Iowa,0.01245805956423146,22.788,2,75.96
Office Supplies,Urbandale,United States,Clay Ludtke,0.0,Avery,03/11/2019,CA-2019-128867,50322,"Avery Durable Plastic 1"" Binders",Binders,Central,Consumer,10/11/2019,Standard Class,Iowa,0,13.3476,6,27.24
Office Supplies,Columbus,United States,Ryan Crowe,0.3,Other,25/08/2017,CA-2017-115259,43229,"OIC Colored Binder Clips, Assorted Sizes",Fasteners,East,Consumer,27/08/2017,Second Class,Ohio,0.1303034344605996,14.5348,14,40.096
