Id;Category;Self-declared fitness form;Occupation;Gender/age;First name;Middle name initial;Last name;Diet details
7493072942;Busy Mum;Good fitness;Student job;Female - 29;Wendy;R;Blake;Max: 2400 kcal, Diet: Keto
6179619273;Active Millenial;Top fitness;Student job;Female - 25;Lisa;E;Talbot;Max: 1600 kcal, Diet: No restrictions
7100889118;Casual exerciser;Average;Telesales person;Female - 51;Karen;;Perkins;Max: 2400 kcal, Diet: Low-Carb
5108327708;Fitness-conscious Senior;Good fitness;Retired, ad hoc projects;Male - 71;Peter;;Barry;Max: 2300 kcal, Diet: Atkins
8302467325;Fitness-conscious Senior;Good fitness;Retired, ad hoc projects;Female - 76;Rachel;L;Woodley;Max: 2100 kcal, Diet: No restrictions
4407917164;Just an avergae Joe;Top fitness;Builder;Male - 35;Oliver;G;Dale;Max: 1800 kcal, Diet: Keto
5951214850;Gym addict;Top fitness;Tax inspector;Male - 35;Adam;Z;Matthews;Max: 2000 kcal, Diet: Other
3287120046;Just an avergae Joe;Good fitness;Engineer;Male - 53;Paul;;Mercado;Max: 2300 kcal, Diet: Other
6155372999;Active Millenial;Out of shape;Student job;Female - 19;Rachel;;Garcia;Max: 1500 kcal, Diet: No restrictions
4705488225;Busy Mum;Top fitness;Recruiter;Female - 36;Lisa;S;Barry;Max: 2000 kcal, Diet: Keto
2039748542;Just an avergae Joe;Top fitness;Engineer;Male - 57;Adam;S;Garcia;Max: 2300 kcal, Diet: Low-Carb
7286294068;Casual exerciser;Top fitness;Architect;Male - 60;Jason;T;Hamilton;Max: 2500 kcal, Diet: Low-Carb
7935560312;Casual exerciser;Average;Police force;Female - 32;Kate;M;Duke;Max: 1800 kcal, Diet: Keto
3774567966;Active Millenial;Out of shape;Student job;Female - 24;Julie;;Lu;Max: 2100 kcal, Diet: Paleo
2658280116;Casual exerciser;Average;Builder;Female - 49;Emma;D;Campbell;Max: 2200 kcal, Diet: Vegan
8870010533;Gym addict;Top fitness;Clerk;Male - 44;Jonas;;Barrow;Max: 1900 kcal, Diet: Other
3928178091;Fitness-conscious Senior;Average;Retired, ad hoc projects;Female - 81;Wendy;I;Duke;Max: 2100 kcal, Diet: Vegan
5644629471;Active Millenial;Top fitness;Student job;Female - 20;Jane;;Dale;Max: 2400 kcal, Diet: Other
7710949665;Just an avergae Joe;Average;Event organiser;Male - 37;Paul;;Lane;Max: 1800 kcal, Diet: Vegan
5931078521;Casual exerciser;Top fitness;Police force;Male - 44;Andy;;Brook;Max: 1800 kcal, Diet: Low-Carb
3536417644;Just an avergae Joe;Out of shape;Clerk;Female - 56;Jane;A;Appleton;Max: 1900 kcal, Diet: No restrictions
5592028851;Just an avergae Joe;Top fitness;Teacher;Male - 53;Mark;M;Campbell;Max: 2000 kcal, Diet: No restrictions
2429178346;Casual exerciser;Good fitness;Architect;Male - 50;Andy;D;Scott;Max: 1700 kcal, Diet: Vegan
5103026098;Busy Mum;Top fitness;Tax inspector;Female - 31;Annie;Z;Blake;Max: 1700 kcal, Diet: No restrictions
6635694563;Just an avergae Joe;Good fitness;Architect;Male - 54;Jason;R;Washington;Max: 2100 kcal, Diet: Atkins
2380642386;Just an avergae Joe;Good fitness;Recruiter;Male - 58;Frank;B;Barrow;Max: 2500 kcal, Diet: No restrictions
3349007817;Active Millenial;Top fitness;Student job;Female - 24;Kelly;;Barrow;Max: 2000 kcal, Diet: Other
7539978204;Casual exerciser;Top fitness;Tax inspector;Male - 46;Jonas;K;Woodley;Max: 2200 kcal, Diet: Low-Carb
7890774271;Just an avergae Joe;Top fitness;Builder;Female - 35;Wendy;S;Mercado;Max: 2100 kcal, Diet: Keto
2240372478;Fitness-conscious Senior;Good fitness;Retired, not working;Male - 78;Paul;E;Barry;Max: 2100 kcal, Diet: No restrictions
5514261986;Just an avergae Joe;Average;Teacher;Male - 43;Peter;D;Perkins;Max: 1500 kcal, Diet: Low-Carb
7731115297;Casual exerciser;Top fitness;Clerk;Male - 58;Peter;;Hamilton;Max: 1600 kcal, Diet: Other
2175799565;Fitness-conscious Senior;Out of shape;Retired, not working;Male - 81;Jonas;;Power;Max: 2300 kcal, Diet: No restrictions
4633526901;Busy Mum;Good fitness;Architect;Female - 32;Lisa;L;Washington;Max: 1600 kcal, Diet: Paleo
3752728973;Gym addict;Good fitness;Recruiter;Male - 47;Joe;;Hamilton;Max: 1700 kcal, Diet: Atkins
2238776873;Busy Mum;Average;Event organiser;Female - 32;Sophie;S;English;Max: 1600 kcal, Diet: Paleo
3455474534;Just an avergae Joe;Average;Student;Female - 34;Agnes;E;Brook;Max: 2100 kcal, Diet: Low-Carb
2576724326;Fitness-conscious Senior;Out of shape;Retired, ad hoc projects;Female - 65;Jane;C;Woodley;Max: 2000 kcal, Diet: Other
8048975553;Just an avergae Joe;Top fitness;Teacher;Female - 48;Fanny;C;Barlow;Max: 2100 kcal, Diet: No restrictions
5195557418;Active Millenial;Out of shape;Student job;Female - 23;Annie;L;Campbell;Max: 2200 kcal, Diet: Keto
6400877034;Active Millenial;Average;Student job;Female - 25;Julie;A;Lopez;Max: 1700 kcal, Diet: Vegan
8697774514;Fitness-conscious Senior;Average;Retired, ad hoc projects;Male - 80;Peter;D;Johnson;Max: 2200 kcal, Diet: Other
2690233327;Fitness-conscious Senior;Good fitness;Retired, not working;Male - 78;Peter;;Garcia;Max: 2100 kcal, Diet: Low-Carb
4881993727;Fitness-conscious Senior;Out of shape;Retired, ad hoc projects;Male - 70;Paul;T;Miller;Max: 1900 kcal, Diet: Atkins
3948528538;Just an avergae Joe;Average;Builder;Female - 38;Annie;;Storey;Max: 1800 kcal, Diet: Vegan
5805116258;Casual exerciser;Top fitness;Engineer;Male - 43;Paul;I;Perkins;Max: 2100 kcal, Diet: Low-Carb
7054423113;Active Millenial;Good fitness;Student job;Male - 24;Andy;;Duke;Max: 1600 kcal, Diet: Paleo
8622560552;Just an avergae Joe;Good fitness;Architect;Female - 38;Wendy;;Dale;Max: 1900 kcal, Diet: Atkins
6716659578;Active Millenial;Good fitness;Student job;Male - 26;Frank;;Peace;Max: 1700 kcal, Diet: No restrictions
4085108104;Casual exerciser;Average;Student;Male - 51;Frank;;Barry;Max: 1800 kcal, Diet: Low-Carb
6610329594;Casual exerciser;Good fitness;Tax inspector;Female - 53;Emma;;Johnson;Max: 1900 kcal, Diet: Atkins
7888240785;Just an avergae Joe;Top fitness;Police force;Male - 34;Paul;;Miller;Max: 2200 kcal, Diet: Paleo
6787796860;Gym addict;Good fitness;Builder;Male - 50;Frank;E;Garcia;Max: 2300 kcal, Diet: Low-Carb
4332822104;Casual exerciser;Out of shape;Police force;Male - 42;Jonas;;Brook;Max: 2500 kcal, Diet: Vegan
7185886116;Gym addict;Top fitness;Architect;Female - 33;Annie;E;Graham;Max: 2200 kcal, Diet: No restrictions
6549197728;Fitness-conscious Senior;Top fitness;Retired, not working;Female - 66;Annie;M;Hurley;Max: 1800 kcal, Diet: Keto
1843112422;Casual exerciser;Out of shape;Builder;Male - 42;Joe;;Blake;Max: 1800 kcal, Diet: Low-Carb
1621075946;Gym addict;Good fitness;Student;Male - 55;Oliver;G;Peace;Max: 2400 kcal, Diet: Keto
7659564185;Busy Mum;Average;Tax inspector;Female - 26;Jane;E;Mercado;Max: 2400 kcal, Diet: No restrictions
3013061725;Gym addict;Average;Engineer;Female - 57;Annie;Z;Campbell;Max: 1800 kcal, Diet: Paleo
4918720941;Casual exerciser;Out of shape;Clerk;Male - 38;Marc;L;Power;Max: 1600 kcal, Diet: Keto
2767326741;Active Millenial;Out of shape;Student job;Female - 25;Deborah;;Lane;Max: 2000 kcal, Diet: Vegan
3453570312;Active Millenial;Top fitness;Student job;Female - 18;Ann;B;Lu;Max: 1600 kcal, Diet: Low-Carb
1604077616;Casual exerciser;Out of shape;Event organiser;Female - 52;Kelly;O;Perkins;Max: 2000 kcal, Diet: Atkins
2036750866;Active Millenial;Top fitness;Student job;Female - 20;Julie;K;Perkins;Max: 2000 kcal, Diet: Other
3175454193;Casual exerciser;Average;Tax inspector;Female - 46;Ann;G;Banks;Max: 2300 kcal, Diet: Vegan
5532402303;Casual exerciser;Top fitness;Engineer;Female - 38;Ann;D;Kim;Max: 1900 kcal, Diet: Paleo
7401287223;Just an avergae Joe;Top fitness;Teacher;Female - 43;Nathalie;;Duke;Max: 2200 kcal, Diet: No restrictions
5222680273;Busy Mum;Out of shape;Teacher;Female - 26;Wendy;D;Peace;Max: 2000 kcal, Diet: No restrictions
2917625246;Active Millenial;Top fitness;Student job;Male - 26;Jonas;;Barrow;Max: 1800 kcal, Diet: Atkins
4356418984;Fitness-conscious Senior;Top fitness;Retired, ad hoc projects;Male - 81;Marc;Z;Barry;Max: 2300 kcal, Diet: Atkins
3557782655;Just an avergae Joe;Average;Student;Female - 52;Julie;D;Talbot;Max: 1700 kcal, Diet: Atkins
3990540037;Gym addict;Average;Telesales person;Female - 39;Nathalie;;Matthews;Max: 2000 kcal, Diet: Atkins
4025628029;Active Millenial;Average;Student job;Female - 22;Annie;T;Perkins;Max: 2200 kcal, Diet: Paleo
3027758998;Just an avergae Joe;Top fitness;Telesales person;Male - 36;Frank;;Barrow;Max: 2200 kcal, Diet: Keto
7985782463;Just an avergae Joe;Good fitness;Tax inspector;Male - 37;Marc;E;Washington;Max: 2400 kcal, Diet: Keto
4514930229;Busy Mum;Top fitness;Engineer;Female - 37;Sophie;;Kim;Max: 2400 kcal, Diet: Other
5907520751;Active Millenial;Average;Student job;Male - 24;Paul;B;Lu;Max: 2000 kcal, Diet: Low-Carb
4248170563;Active Millenial;Top fitness;Student job;Female - 22;Kate;I;Power;Max: 1600 kcal, Diet: No restrictions
1612069962;Gym addict;Average;Teacher;Female - 57;Kelly;Z;Dale;Max: 2200 kcal, Diet: Vegan
5305440019;Just an avergae Joe;Good fitness;Architect;Female - 58;Lisa;G;English;Max: 1700 kcal, Diet: No restrictions
3656072978;Fitness-conscious Senior;Average;Retired, ad hoc projects;Male - 68;Paul;;Dale;Max: 1700 kcal, Diet: Vegan
4607946072;Casual exerciser;Average;Architect;Male - 36;Adam;J;Johnson;Max: 1700 kcal, Diet: Keto
6416725333;Active Millenial;Average;Student job;Female - 21;Annie;K;Dale;Max: 2500 kcal, Diet: Vegan
7748151538;Fitness-conscious Senior;Good fitness;Retired, not working;Female - 66;Agnes;;Lu;Max: 2300 kcal, Diet: Other
4372828523;Gym addict;Good fitness;Builder;Male - 58;Peter;A;Kim;Max: 2200 kcal, Diet: Other
7336246731;Casual exerciser;Good fitness;Student;Female - 41;Wendy;;Miller;Max: 1900 kcal, Diet: No restrictions
2085781403;Gym addict;Top fitness;Police force;Male - 34;Paul;T;Matthews;Max: 1700 kcal, Diet: Vegan
4692442332;Fitness-conscious Senior;Out of shape;Retired, ad hoc projects;Female - 76;Nathalie;B;Wolf;Max: 1500 kcal, Diet: Low-Carb
6258024931;Busy Mum;Top fitness;Tax inspector;Female - 27;Jane;S;Power;Max: 2300 kcal, Diet: No restrictions
4749179748;Active Millenial;Out of shape;Student job;Male - 27;Jason;;Lopez;Max: 2100 kcal, Diet: Other
7858752485;Busy Mum;Good fitness;Student;Female - 27;Jane;Z;Scott;Max: 2100 kcal, Diet: No restrictions
7793979291;Casual exerciser;Average;Engineer;Female - 57;Wendy;;Barry;Max: 2300 kcal, Diet: Keto
6012703671;Active Millenial;Out of shape;Student job;Female - 18;Jane;R;Hurley;Max: 2500 kcal, Diet: Vegan
6920583334;Just an avergae Joe;Good fitness;Student;Male - 60;Marc;;Wolf;Max: 2100 kcal, Diet: Other
5511152489;Busy Mum;Good fitness;Recruiter;Female - 35;Nathalie;;Barlow;Max: 1900 kcal, Diet: Low-Carb
4594152021;Just an avergae Joe;Out of shape;Architect;Female - 36;Karen;M;Perkins;Max: 2200 kcal, Diet: No restrictions
8237502515;Fitness-conscious Senior;Average;Retired, ad hoc projects;Female - 81;Fanny;I;Garcia;Max: 1800 kcal, Diet: No restrictions
4490154609;Gym addict;Good fitness;Clerk;Male - 39;Marc;;Hamilton;Max: 1900 kcal, Diet: Keto
3965114369;Active Millenial;Out of shape;Student job;Female - 29;Karen;;Talbot;Max: 1900 kcal, Diet: No restrictions
4134643276;Just an avergae Joe;Top fitness;Police force;Male - 43;Paul;E;Duke;Max: 1700 kcal, Diet: Paleo
6752265841;Gym addict;Average;Builder;Female - 50;Rachel;R;Lu;Max: 1600 kcal, Diet: Paleo
3552129664;Casual exerciser;Top fitness;Student;Female - 39;Wendy;;Blake;Max: 2000 kcal, Diet: Paleo
8236763153;Gym addict;Good fitness;Student;Male - 56;Andy;A;Brook;Max: 1800 kcal, Diet: Low-Carb
5270195490;Busy Mum;Average;Engineer;Female - 32;Karen;E;Scott;Max: 2100 kcal, Diet: Low-Carb
7058259429;Busy Mum;Top fitness;Teacher;Female - 33;Jane;;Talbot;Max: 2200 kcal, Diet: No restrictions
8579373981;Just an avergae Joe;Average;Architect;Female - 37;Lisa;;Talbot;Max: 1800 kcal, Diet: Other
6979167141;Active Millenial;Out of shape;Student job;Male - 22;Mark;O;Dale;Max: 2000 kcal, Diet: Keto
5402640384;Just an avergae Joe;Average;Clerk;Male - 43;Jason;;Hamilton;Max: 2200 kcal, Diet: Low-Carb
7292070069;Gym addict;Good fitness;Student;Female - 38;Emma;I;Talbot;Max: 1900 kcal, Diet: Atkins
1840448796;Gym addict;Out of shape;Tax inspector;Male - 55;Paul;D;Graham;Max: 1800 kcal, Diet: Vegan
1936363120;Casual exerciser;Out of shape;Event organiser;Male - 51;Adam;T;Banks;Max: 2300 kcal, Diet: Vegan
7839414275;Busy Mum;Average;Police force;Female - 39;Nathalie;C;Lu;Max: 1800 kcal, Diet: No restrictions
2178914051;Gym addict;Good fitness;Tax inspector;Male - 34;Andy;J;Lane;Max: 2200 kcal, Diet: Low-Carb
6469775445;Busy Mum;Good fitness;Engineer;Female - 32;Wendy;;Perkins;Max: 1500 kcal, Diet: Vegan
4731744802;Active Millenial;Out of shape;Student job;Male - 18;Adam;G;Barry;Max: 1800 kcal, Diet: Atkins
6284415749;Fitness-conscious Senior;Top fitness;Retired, ad hoc projects;Female - 58;Sonia;B;Milner;Max: 2500 kcal, Diet: Low-Carb
7526342026;Fitness-conscious Senior;Average;Retired, not working;Male - 68;Paul;;Lopez;Max: 1500 kcal, Diet: Vegan
7339874763;Active Millenial;Good fitness;Student job;Female - 25;Rachel;;Wolf;Max: 1700 kcal, Diet: No restrictions
8066694833;Casual exerciser;Top fitness;Teacher;Female - 41;Wendy;;Perkins;Max: 1800 kcal, Diet: Paleo
8348027593;Gym addict;Top fitness;Architect;Female - 57;Rachel;B;Power;Max: 2200 kcal, Diet: Keto
7470744146;Busy Mum;Average;Student job;Female - 32;Karen;B;Lopez;Max: 1900 kcal, Diet: Keto
2337268391;Gym addict;Out of shape;Clerk;Male - 48;Peter;T;Lane;Max: 2400 kcal, Diet: Other
4545385514;Just an avergae Joe;Top fitness;Architect;Female - 51;Deborah;S;Graham;Max: 2200 kcal, Diet: Paleo
3622902119;Fitness-conscious Senior;Good fitness;Retired, ad hoc projects;Male - 75;Jonas;;Hurley;Max: 2500 kcal, Diet: Vegan
7529619874;Gym addict;Average;Clerk;Male - 34;Adam;M;Duke;Max: 1900 kcal, Diet: Atkins
4811150683;Fitness-conscious Senior;Out of shape;Retired, not working;Female - 70;Julie;R;Graham;Max: 2500 kcal, Diet: No restrictions
2723476709;Busy Mum;Average;Event organiser;Female - 28;Deborah;E;Talbot;Max: 2200 kcal, Diet: No restrictions
5107097471;Casual exerciser;Out of shape;Telesales person;Male - 60;Adam;Z;Kim;Max: 2400 kcal, Diet: No restrictions
5957873516;Active Millenial;Good fitness;Student job;Male - 29;Mark;;Dale;Max: 1700 kcal, Diet: Other
4985621357;Casual exerciser;Top fitness;Teacher;Male - 32;Peter;B;Brook;Max: 2400 kcal, Diet: Keto
7251410705;Just an avergae Joe;Out of shape;Event organiser;Male - 32;Oliver;M;Garcia;Max: 1700 kcal, Diet: Vegan
3450063673;Gym addict;Average;Teacher;Male - 40;Peter;A;Talbot;Max: 1900 kcal, Diet: Vegan
3226753242;Fitness-conscious Senior;Out of shape;Retired, ad hoc projects;Male - 75;Adam;;Lu;Max: 1800 kcal, Diet: Other
8352774402;Active Millenial;Average;Student, no job;Male - 19;Mark;C;Perkins;Max: 1900 kcal, Diet: Atkins
4354902670;Gym addict;Average;Police force;Male - 59;Marc;D;Peace;Max: 2500 kcal, Diet: Atkins
5722745127;Active Millenial;Good fitness;Student, no job;Female - 26;Agnes;C;Power;Max: 1900 kcal, Diet: Atkins
4019526069;Active Millenial;Out of shape;Student, no job;Female - 23;Sophie;J;Kim;Max: 1600 kcal, Diet: Atkins
2723950287;Gym addict;Out of shape;Teacher;Female - 52;Linda;M;Woodley;Max: 1900 kcal, Diet: No restrictions
4639570102;Gym addict;Top fitness;Police force;Female - 57;Emma;Z;Johnson;Max: 1600 kcal, Diet: Atkins
6745318344;Active Millenial;Average;Student, no job;Female - 22;Fanny;O;Dale;Max: 1900 kcal, Diet: Keto
8621424413;Casual exerciser;Top fitness;Event organiser;Male - 55;Frank;L;Lane;Max: 2300 kcal, Diet: No restrictions
6444051721;Casual exerciser;Good fitness;Telesales person;Male - 51;Marc;;Kim;Max: 1500 kcal, Diet: Atkins
6063332111;Active Millenial;Top fitness;Student, no job;Female - 19;Karen;S;English;Max: 2000 kcal, Diet: Other
3302188775;Busy Mum;Top fitness;Event organiser;Female - 31;Rachel;;Perkins;Max: 1600 kcal, Diet: Other
8294559241;Gym addict;Average;Student;Male - 36;Marc;L;Washington;Max: 2200 kcal, Diet: Other
6911843405;Active Millenial;Average;Student, no job;Male - 29;Mark;R;Hurley;Max: 1800 kcal, Diet: No restrictions
1564289805;Casual exerciser;Good fitness;Architect;Male - 55;Peter;Z;Brook;Max: 2200 kcal, Diet: No restrictions
2208617266;Just an avergae Joe;Good fitness;Tax inspector;Female - 40;Emma;O;English;Max: 2100 kcal, Diet: Paleo
2318525991;Active Millenial;Good fitness;Student, no job;Female - 28;Deborah;E;Dale;Max: 1700 kcal, Diet: No restrictions
4084563525;Just an avergae Joe;Good fitness;Recruiter;Female - 49;Jane;M;Talbot;Max: 1700 kcal, Diet: Low-Carb
8423666395;Busy Mum;Average;Telesales person;Female - 32;Wendy;M;Scott;Max: 2100 kcal, Diet: Atkins
3977678649;Fitness-conscious Senior;Top fitness;Retired, ad hoc projects;Female - 80;Nathalie;;Miller;Max: 1700 kcal, Diet: Low-Carb
8675004470;Gym addict;Out of shape;Police force;Male - 36;Joe;A;Brook;Max: 1800 kcal, Diet: Low-Carb
5894255565;Gym addict;Average;Teacher;Male - 32;Jason;;Peace;Max: 1900 kcal, Diet: Other
4720875483;Casual exerciser;Good fitness;Police force;Female - 45;Annie;I;Banks;Max: 2400 kcal, Diet: Keto
4049269710;Fitness-conscious Senior;Average;Retired, not working;Male - 78;Marc;M;Talbot;Max: 2200 kcal, Diet: Paleo
8530447619;Busy Mum;Out of shape;Student;Female - 34;Julie;J;Wolf;Max: 1800 kcal, Diet: Other
3455349983;Casual exerciser;Top fitness;Clerk;Female - 54;Linda;D;Scott;Max: 2100 kcal, Diet: Low-Carb
4745259888;Gym addict;Good fitness;Event organiser;Male - 38;Frank;;Barlow;Max: 1700 kcal, Diet: Low-Carb
2281001375;Casual exerciser;Top fitness;Engineer;Female - 37;Karen;;Graham;Max: 2500 kcal, Diet: Atkins
6270975199;Just an avergae Joe;Out of shape;Engineer;Female - 60;Linda;E;Wolf;Max: 2000 kcal, Diet: Atkins
8272894378;Just an avergae Joe;Out of shape;Recruiter;Male - 34;Frank;L;Lu;Max: 1800 kcal, Diet: Low-Carb
7734778900;Active Millenial;Average;Student, no job;Female - 22;Sophie;Z;Lane;Max: 2000 kcal, Diet: Low-Carb
7866515479;Fitness-conscious Senior;Top fitness;Retired, ad hoc projects;Male - 68;Paul;;Hamilton;Max: 2000 kcal, Diet: Low-Carb
2936409759;Active Millenial;Out of shape;Student, no job;Male - 23;Marc;E;Talbot;Max: 2300 kcal, Diet: No restrictions
4372108122;Gym addict;Average;Teacher;Female - 45;Jane;R;Campbell;Max: 2200 kcal, Diet: Paleo
7964901960;Active Millenial;Good fitness;Student, no job;Male - 24;Mark;T;Perkins;Max: 2100 kcal, Diet: Other
4747414709;Active Millenial;Average;Student, no job;Male - 24;Paul;M;Barry;Max: 2100 kcal, Diet: Other
8339555862;Fitness-conscious Senior;Average;Retired, not working;Male - 63;Frank;J;Duke;Max: 2100 kcal, Diet: Keto
4819623878;Casual exerciser;Average;Clerk;Female - 56;Karen;K;Brook;Max: 2100 kcal, Diet: Keto
2370029801;Fitness-conscious Senior;Average;Retired, ad hoc projects;Male - 68;Joe;J;Barry;Max: 2100 kcal, Diet: Atkins
7487419018;Just an avergae Joe;Out of shape;Architect;Female - 46;Kelly;;Perkins;Max: 2200 kcal, Diet: Vegan
1961354712;Active Millenial;Top fitness;Student, no job;Male - 19;Peter;B;Dale;Max: 1500 kcal, Diet: Paleo
5428961883;Active Millenial;Out of shape;Student, no job;Female - 27;Jane;;Woodley;Max: 1700 kcal, Diet: Keto
