account_number,customer_name,account_type,OpeningBalance,TotalDeposits,TotalWithdrawals,NetChange,ClosingBalance
NAD-046-CHK,Kimberly Campbell,Checking,"$29,000.00","$370,715.38","$174,094.16","$196,621.22","$225,621.22"
NAD-014-SAV,Patricia Moore,Savings,"$62,000.00","$348,212.37","$191,246.72","$156,965.65","$218,965.65"
NAD-019-CHK,Michelle Thompson,Checking,"$19,000.00","$390,729.39","$192,249.11","$198,480.28","$217,480.28"
NAD-021-SAV,Kevin Harris,Savings,"$44,000.00","$349,002.18","$177,796.43","$171,205.75","$215,205.75"
NAD-042-CHK,Jonathan Roberts,Checking,"$24,000.00","$393,418.43","$202,514.83","$190,903.60","$214,903.60"
NAD-006-CHK,Maria Garcia,Checking,"$28,000.00","$406,315.19","$219,489.86","$186,825.33","$214,825.33"
NAD-029-CHK,Ryan Young,Checking,"$15,000.00","$381,668.51","$189,485.25","$192,183.26","$207,183.26"
NAD-037-SAV,Eric Nelson,Savings,"$64,000.00","$344,165.36","$203,513.89","$140,651.47","$204,651.47"
NAD-016-CHK,Christopher Taylor,Checking,"$25,000.00","$358,296.03","$180,236.34","$178,059.69","$203,059.69"
NAD-008-SAV,David Wilson,Savings,"$55,000.00","$375,246.25","$232,580.07","$142,666.18","$197,666.18"
NAD-013-CHK,Thomas White,Checking,"$38,000.00","$346,200.76","$191,223.63","$154,977.13","$192,977.13"
NAD-002-CHK,Sarah Mitchell,Checking,"$45,000.00","$344,897.45","$201,911.96","$142,985.49","$187,985.49"
NAD-049-CHK,Brittany Evans,Checking,"$21,000.00","$343,161.64","$184,833.78","$158,327.86","$179,327.86"
NAD-033-CHK,Stephanie Green,Checking,"$27,000.00","$325,973.54","$186,107.01","$139,866.53","$166,866.53"
NAD-036-CHK,Melissa Adams,Checking,"$18,000.00","$331,871.20","$195,035.37","$136,835.83","$154,835.83"
NAD-004-SAV,Emma Thompson,Savings,"$32,000.00","$302,689.75","$200,178.36","$102,511.39","$134,511.39"
NAD-026-CHK,Brian Walker,Checking,"$22,000.00","$289,377.93","$221,127.38","$68,250.55","$90,250.55"
