AccountNumber,CustomerName,AccountType,OpeningBalance,QuarterDeposits,QuarterWithdrawals,ClosingBalance,NetChange
NAD-050-SAV,Tyler Edwards,Savings,"$69,000.00","$406,762.46","$194,624.37","$281,138.09","$212,138.09"
NAD-001-SAV,James Anderson,Savings,"$75,000.00","$373,063.21","$167,457.23","$280,605.98","$205,605.98"
NAD-037-SAV,Eric Nelson,Savings,"$64,000.00","$422,997.54","$220,212.91","$266,784.63","$202,784.63"
NAD-024-SAV,Steven Clark,Savings,"$58,000.00","$378,591.07","$172,119.79","$264,471.28","$206,471.28"
NAD-017-SAV,Amanda Jackson,Savings,"$71,000.00","$394,522.19","$203,659.08","$261,863.11","$190,863.11"
NAD-004-SAV,Emma Thompson,Savings,"$32,000.00","$405,096.07","$179,634.81","$257,461.26","$225,461.26"
NAD-029-CHK,Ryan Young,Checking,"$15,000.00","$424,216.90","$183,086.09","$256,130.81","$241,130.81"
NAD-009-CHK,Lisa Brown,Checking,"$12,000.00","$407,604.47","$164,147.54","$255,456.93","$243,456.93"
NAD-030-SAV,Lauren King,Savings,"$52,000.00","$380,977.89","$179,489.01","$253,488.88","$201,488.88"
NAD-042-CHK,Jonathan Roberts,Checking,"$24,000.00","$397,644.72","$169,453.79","$252,190.93","$228,190.93"
NAD-022-CHK,Nicole Robinson,Checking,"$31,000.00","$392,342.76","$172,009.31","$251,333.45","$220,333.45"
NAD-047-SAV,Justin Parker,Savings,"$56,000.00","$358,967.94","$177,264.25","$237,703.69","$181,703.69"
NAD-014-SAV,Patricia Moore,Savings,"$62,000.00","$347,524.84","$172,474.18","$237,050.66","$175,050.66"
NAD-016-CHK,Christopher Taylor,Checking,"$25,000.00","$381,600.12","$173,156.13","$233,443.99","$208,443.99"
NAD-019-CHK,Michelle Thompson,Checking,"$19,000.00","$392,086.33","$185,390.58","$225,695.75","$206,695.75"
NAD-027-SAV,Jessica Hall,Savings,"$67,000.00","$377,729.17","$220,851.84","$223,877.33","$156,877.33"
NAD-041-SAV,Heather Perez,Savings,"$49,000.00","$345,149.61","$175,847.01","$218,302.60","$169,302.60"
NAD-028-BUS,Canberra Tech Hub,Business,"$98,000.00","$326,378.00","$214,163.34","$210,214.66","$112,214.66"
NAD-021-SAV,Kevin Harris,Savings,"$44,000.00","$320,517.93","$154,743.82","$209,774.11","$165,774.11"
NAD-046-CHK,Kimberly Campbell,Checking,"$29,000.00","$373,711.09","$197,153.62","$205,557.47","$176,557.47"
NAD-006-CHK,Maria Garcia,Checking,"$28,000.00","$348,646.31","$172,456.90","$204,189.41","$176,189.41"
NAD-002-CHK,Sarah Mitchell,Checking,"$45,000.00","$319,038.60","$166,819.69","$197,218.91","$152,218.91"
NAD-026-CHK,Brian Walker,Checking,"$22,000.00","$313,016.04","$151,909.63","$183,106.41","$161,106.41"
NAD-049-CHK,Brittany Evans,Checking,"$21,000.00","$344,502.16","$184,476.85","$181,025.31","$160,025.31"
NAD-033-CHK,Stephanie Green,Checking,"$27,000.00","$348,513.42","$196,203.92","$179,309.50","$152,309.50"
NAD-036-CHK,Melissa Adams,Checking,"$18,000.00","$319,660.83","$163,209.96","$174,450.87","$156,450.87"
NAD-010-SAV,Michael O'Connor,Savings,"$48,000.00","$336,943.93","$212,308.69","$172,635.24","$124,635.24"
